DLiP-ID,C001ZV
DLiP-Mol-ID,27363
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C13H12N2O2S/c1-17-10-7-5-9(6-8-10)3-2-4-11-12(16)15-13(18)14-11/h2-8H,1H3,(H2,14,15,16,18)/b3-2+,11-4-"
Standard Inchi Key(RDKit),YICHONBJSXGNDV-ICKRUQPGSA-N
Canonical SMILES(RDKit),COc1ccc(/C=C/C=C2\NC(=S)NC2=O)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),260.318
MW Monoisotopic(RDKit),260.061948624
MolLogP(RDKit),1.5966
XLogP(SDF),
XLogP(CDK),2.797
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),50.36
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),18
QED Weighted(RDKit),0.639982601731427
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,15795.249083289713
qed,0.6399826017314268
Chi0,12.957819157813608
Chi1,8.685871848001627
TPSA,50.36
Chi0n,9.766196755718973
Chi0v,10.582693336646697
Chi1n,5.3360048670618685
Chi1v,5.744253157525732
Chi2n,3.6208665870826664
Chi2v,4.0291148775465295
Chi3n,2.387256083494398
Chi3v,2.5913802287263294
Chi4n,1.4686011768102485
Chi4v,1.67125548119176
MolMR,73.98740000000001
MolWt,260.318
fr_SH,0
Kappa1,12.320424203791184
Kappa2,5.462517205034409
Kappa3,2.953132568802375
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,1
fr_NH0,0
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,532.4271552837997
MolLogP,1.5966
NOCount,4
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.0437954670324427
SMR_VSA1,9.53140013787187
SMR_VSA2,0.0
SMR_VSA3,10.633577208012662
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,7.109797541277533
SMR_VSA7,47.67799929226703
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,110.3345326463471
NHOHCount,2
PEOE_VSA1,10.05365155780638
PEOE_VSA2,10.111325788078153
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,24.284774350590983
PEOE_VSA7,35.99007917850079
PEOE_VSA8,0.0
PEOE_VSA9,7.109797541277533
RingCount,2
SMR_VSA10,29.31351016395684
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,260.061948624
NumHDonors,2
PEOE_VSA10,11.446551146339738
PEOE_VSA11,5.112436884724758
PEOE_VSA12,0.0
PEOE_VSA13,5.907179729351506
PEOE_VSA14,0.0
SlogP_VSA1,15.37044016181271
SlogP_VSA2,18.129414155353796
SlogP_VSA3,4.794537184071822
SlogP_VSA4,0.0
SlogP_VSA5,5.563451491696996
SlogP_VSA6,42.11454780057004
SlogP_VSA7,0.0
SlogP_VSA8,6.076020106833881
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,1
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,0.0
EState_VSA2,5.907179729351506
EState_VSA3,10.80947619778059
EState_VSA4,11.3129633249809
