DLiP-ID,T004RN
DLiP-Mol-ID,21061
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C27H34N4O5/c32-24(7-6-23(25(33)34)29-26(35)36-20-21-4-2-1-3-5-21)31-18-12-27(13-19-31)10-16-30(17-11-27)22-8-14-28-15-9-22/h1-5,8-9,14-15,23H,6-7,10-13,16-20H2,(H,29,35)(H,33,34)/t23-/m0/s1"
Standard Inchi Key(RDKit),OYCLLPDCZQPWQL-QHCPKHFHSA-N
Canonical SMILES(RDKit),O=C(N[C@@H](CCC(=O)N1CCC2(CC1)CCN(c1ccncc1)CC2)C(=O)O)OCc1ccccc1
SMILES(SDF),
MW(SDF),
MW(RDKit),494.592
MW Monoisotopic(RDKit),494.252920188
MolLogP(RDKit),3.4504
XLogP(SDF),
XLogP(CDK),0.845
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),112.07
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),36
QED Weighted(RDKit),0.578043068117058
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,140140104.61472198
qed,0.5780430681170581
Chi0,25.382258120807595
Chi1,17.43909070562568
TPSA,112.07000000000002
Chi0n,20.47352482880357
Chi0v,20.47352482880357
Chi1n,12.568920393926534
Chi1v,12.568920393926534
Chi2n,9.708814747459945
Chi2v,9.708814747459945
Chi3n,7.478593095554096
