DLiP-ID,T002WA
DLiP-Mol-ID,19382
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C27H37N3O6/c1-5-29-18(3)22(23(31)30(6-2)26(29)35)20-11-9-19(10-12-20)17-21(24(32)33)28-25(34)27(15-16-36-4)13-7-8-14-27/h9-12,21H,5-8,13-17H2,1-4H3,(H,28,34)(H,32,33)/t21-/m0/s1"
Standard Inchi Key(RDKit),JOABXWLBYGYELJ-NRFANRHFSA-N
Canonical SMILES(RDKit),CCn1c(C)c(-c2ccc(C[C@H](NC(=O)C3(CCOC)CCCC3)C(=O)O)cc2)c(=O)n(CC)c1=O
SMILES(SDF),
MW(SDF),
MW(RDKit),499.608
MW Monoisotopic(RDKit),499.268235904
MolLogP(RDKit),2.73402
XLogP(SDF),
XLogP(CDK),4.527
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),119.63
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),11
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),36
QED Weighted(RDKit),0.49066001532346
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,88310132.254156
qed,0.49066001532346043
Chi0,26.457454678884098
Chi1,17.18390683637733
TPSA,119.63
Chi0n,21.633594615446246
Chi0v,21.633594615446246
Chi1n,12.649302416215567
Chi1v,12.649302416215567
Chi2n,9.532223764159117
Chi2v,9.532223764159117
Chi3n,7.432889535412102
Chi3v,7.432889535412102
Chi4n,5.278791457902318
Chi4v,5.278791457902318
MolMR,137.1475
MolWt,499.6080000000004
fr_SH,0
Kappa1,27.388585017835908
Kappa2,11.689639779279556
Kappa3,5.45653228638003
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1205.7403998280247
MolLogP,2.734020000000001
NOCount,9
fr_Ar_N,2
fr_COO2,1
fr_urea,0
BalabanJ,1.843281223767926
SMR_VSA1,19.432464716784395
SMR_VSA2,0.0
SMR_VSA3,14.450987899589041
SMR_VSA4,5.41499046939678
SMR_VSA5,78.42749497760106
SMR_VSA6,13.716679505790452
SMR_VSA7,56.36093242179102
SMR_VSA8,0.0
SMR_VSA9,11.126902983393991
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,210.64965061734378
NHOHCount,2
PEOE_VSA1,15.160178952647085
PEOE_VSA2,18.723273663726353
PEOE_VSA3,9.589074368143644
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,37.107111519698464
PEOE_VSA7,51.16057945124389
PEOE_VSA8,38.92094193539007
PEOE_VSA9,10.978441961093775
RingCount,3
SMR_VSA10,11.876485017303356
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,499.26823590399994
NumHDonors,2
PEOE_VSA10,6.041840829147961
PEOE_VSA11,0.0
PEOE_VSA12,5.907179729351506
PEOE_VSA13,5.559266895052007
PEOE_VSA14,11.659048686155323
SlogP_VSA1,16.565798897261814
SlogP_VSA2,45.87573204266518
SlogP_VSA3,33.83627175669485
SlogP_VSA4,12.338727669087405
SlogP_VSA5,57.20896200055675
SlogP_VSA6,33.854542641990086
SlogP_VSA7,0.0
SlogP_VSA8,11.126902983393991
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,1
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,17.42613658649659
EState_VSA2,30.12176805144557
EState_VSA3,36.393290971593956
EState_VSA4,31.246737983401033
EState_VSA5,4.567099647791355
