DLiP-ID,I000GJ
DLiP-Mol-ID,28367
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H12O4/c16-12-6-2-1-4-10(12)8-9-13(17)11-5-3-7-14(18)15(11)19/h1-9,16,18-19H"
Standard Inchi Key(RDKit),HVYFGDLINYPWGI-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(C=Cc1ccccc1O)c1cccc(O)c1O
SMILES(SDF),
MW(SDF),
MW(RDKit),256.257
MW Monoisotopic(RDKit),256.073558864
MolLogP(RDKit),2.6995
XLogP(SDF),
XLogP(CDK),3.22
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),77.76
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),19
QED Weighted(RDKit),0.447989049755981
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,LEDGF_IN
Common Target Pref Name,LEDGF/IN
RDKit Descriptors
Ipc,20800.734451440152
qed,0.4479890497559807
Chi0,13.828062645816686
Chi1,9.092224152875014
TPSA,77.76
Chi0n,9.946041499670372
Chi0v,9.946041499670372
Chi1n,5.606995346050748
Chi1v,5.606995346050748
Chi2n,3.929705594998982
Chi2v,3.929705594998982
Chi3n,2.63120586818649
Chi3v,2.63120586818649
Chi4n,1.6138705378582825
Chi4v,1.6138705378582825
MolMR,71.24290000000002
MolWt,256.257
fr_SH,0
Kappa1,12.700325561856753
Kappa2,5.265942183016261
Kappa3,2.741584
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,644.3438758768983
MolLogP,2.6995000000000013
NOCount,4
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.268890830261957
SMR_VSA1,20.11411936859394
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,0.0
SMR_VSA7,59.66749256945914
SMR_VSA8,0.0
SMR_VSA9,17.248535499851716
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,3
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,109.43794399319837
