DLiP-ID,T005OS
DLiP-Mol-ID,22786
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H23FN4O4S/c1-30-15-6-7-16-13(11-15)9-10-25-20(16)17-3-2-4-18(21(25)27)26(17)31(28,29)24-14-5-8-19(22)23-12-14/h5-8,11-12,17-18,20,24H,2-4,9-10H2,1H3"
Standard Inchi Key(RDKit),RSZNDMJETBKFRP-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1ccc2c(c1)CCN1C(=O)C3CCCC(C21)N3S(=O)(=O)Nc1ccc(F)nc1
SMILES(SDF),
MW(SDF),
MW(RDKit),446.504
MW Monoisotopic(RDKit),446.142404436
MolLogP(RDKit),2.2487
XLogP(SDF),
XLogP(CDK),1.509
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),91.84
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),31
QED Weighted(RDKit),0.727713695550909
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,FKBP1A/FK506
Common Target Pref Name,FKBP1A/FK506
RDKit Descriptors
Ipc,12831451.569745498
qed,0.7277136955509089
Chi0,21.750347897697548
Chi1,14.886178577914638
TPSA,91.84
Chi0n,16.99253304046779
Chi0v,17.809029621395517
Chi1n,10.289873585212419
Chi1v,11.72993691401306
Chi2n,8.111878513390872
Chi2v,9.687772359634897
Chi3n,6.422472523378123
Chi3v,7.996480016594226
Chi4n,5.134573195559653
Chi4v,6.766384315246184
MolMR,111.15550000000003
MolWt,446.504
fr_SH,0
Kappa1,20.197661293913697
Kappa2,7.452544016040009
Kappa3,3.337046185451707
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,3
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1124.6997000709362
MolLogP,2.2486999999999995
NOCount,8
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.544176031103068
SMR_VSA1,22.33961216987563
SMR_VSA2,0.0
SMR_VSA3,14.189104243093919
SMR_VSA4,0.0
SMR_VSA5,43.80880897914792
SMR_VSA6,18.376648811642198
