DLiP-ID,T003EO
DLiP-Mol-ID,20161
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H24Cl2N2O5S/c21-13-8-14(22)10-15(9-13)30(28,29)24-7-1-2-16(24)19(25)23-18-12-5-3-11(4-6-12)17(18)20(26)27/h8-12,16-18H,1-7H2,(H,23,25)(H,26,27)/t11?,12?,16-,17-,18-/m0/s1"
Standard Inchi Key(RDKit),LBKPKCBPTLJIIR-GXQFYISESA-N
Canonical SMILES(RDKit),O=C(O)[C@H]1C2CCC(CC2)[C@@H]1NC(=O)[C@@H]1CCCN1S(=O)(=O)c1cc(Cl)cc(Cl)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),475.394
MW Monoisotopic(RDKit),474.078298228
MolLogP(RDKit),3.1521
XLogP(SDF),
XLogP(CDK),3.909
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),103.78
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.681229924716702
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,6332720.428182615
qed,0.6812299247167022
Chi0,21.629027554137906
Chi1,14.179577681631839
TPSA,103.78
Chi0n,16.260147211160525
Chi0v,18.588501684125163
Chi1n,10.193595545060024
Chi1v,12.389587819879118
Chi2n,8.452185768188855
Chi2v,11.215611930005219
Chi3n,6.7622025834304615
Chi3v,9.08457375816479
Chi4n,5.375698610022985
Chi4v,7.759337313610225
MolMR,111.88030000000003
MolWt,475.3940000000001
fr_SH,0
Kappa1,21.865905602599522
Kappa2,8.297053169386382
Kappa3,3.9470410644671654
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,941.6935545987959
MolLogP,3.1521000000000017
NOCount,7
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,1.5571858756081831
SMR_VSA1,23.113398747313287
SMR_VSA2,0.0
SMR_VSA3,9.622004595302565
SMR_VSA4,17.75371813848418
SMR_VSA5,55.50409487136976
SMR_VSA6,6.544756405912575
SMR_VSA7,28.244367832867482
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,185.3173814127352
NHOHCount,2
PEOE_VSA1,10.423315998847038
PEOE_VSA2,9.589074368143644
PEOE_VSA3,8.417796984328938
PEOE_VSA4,4.305215991296234
PEOE_VSA5,0.0
PEOE_VSA6,23.20187978046503
PEOE_VSA7,68.55984303526368
PEOE_VSA8,22.631863862543188
PEOE_VSA9,10.813389521679168
RingCount,5
SMR_VSA10,45.10165595117597
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,474.07829822799994
