DLiP-ID,C002KP
DLiP-Mol-ID,31690
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C13H10N2O3S/c1-7-6-10(15-18-7)14-13(17)12-11(16)8-4-2-3-5-9(8)19-12/h2-6,16H,1H3,(H,14,15,17)"
Standard Inchi Key(RDKit),IAOZPQYDZDPNRU-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1cc(NC(=O)c2sc3ccccc3c2O)no1
SMILES(SDF),
MW(SDF),
MW(RDKit),274.301
MW Monoisotopic(RDKit),274.04121318
MolLogP(RDKit),3.15562
XLogP(SDF),
XLogP(CDK),3.024
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),75.36
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),19
QED Weighted(RDKit),0.752316561950036
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Importin subunit beta-1/Snurportin-1
Common Target Pref Name,Importin subunit beta-1/Snurportin-1
RDKit Descriptors
Ipc,36095.82950330528
qed,0.7523165619500358
Chi0,13.405412915006313
Chi1,9.147867045540842
TPSA,75.36
Chi0n,10.005923408339637
Chi0v,10.822419989267363
Chi1n,5.6009849006419925
Chi1v,6.417481481569718
Chi2n,4.0528791525317756
Chi2v,5.1050779938550175
Chi3n,2.6450718010565137
Chi3v,3.8038496868866396
Chi4n,1.784168029105103
Chi4v,2.77572252316847
MolMR,72.683
MolWt,274.30100000000004
fr_SH,0
Kappa1,11.733706847530526
Kappa2,4.399014026849112
Kappa3,2.0603097846427034
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,760.1825202705821
MolLogP,3.155620000000001
NOCount,5
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.9516276348946584
SMR_VSA1,14.424159515885876
SMR_VSA2,0.0
SMR_VSA3,5.156663257125445
SMR_VSA4,0.0
SMR_VSA5,6.923737199690624
SMR_VSA6,5.316788604006331
SMR_VSA7,40.96922995488379
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,1
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,112.01136094314141
NHOHCount,2
PEOE_VSA1,14.946410935820385
PEOE_VSA2,4.794537184071822
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,11.336785877934737
PEOE_VSA6,17.289397394048667
PEOE_VSA7,19.056471336613843
PEOE_VSA8,16.15251119939551
PEOE_VSA9,0.0
RingCount,3
SMR_VSA10,33.14797251605517
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,274.04121318
NumHDonors,2
PEOE_VSA10,16.386906445859648
PEOE_VSA11,5.817862777835028
PEOE_VSA12,0.0
PEOE_VSA13,5.907179729351506
PEOE_VSA14,0.0
SlogP_VSA1,5.316788604006331
SlogP_VSA2,16.170370381317657
SlogP_VSA3,0.0
SlogP_VSA4,6.923737199690624
SlogP_VSA5,15.431931796647563
SlogP_VSA6,34.8549302792814
SlogP_VSA7,0.0
SlogP_VSA8,10.086144130933896
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,1
fr_epoxide,0
