DLiP-ID,C002I0
DLiP-Mol-ID,31322
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C17H16N4O3S2/c1-3-13(22)21-17-18-9(2)14(26-17)12-8-25-16(20-12)19-11-6-4-5-10(7-11)15(23)24/h4-8H,3H2,1-2H3,(H,19,20)(H,23,24)(H,18,21,22)"
Standard Inchi Key(RDKit),KXRDIOFRBCTDOP-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCC(=O)Nc1nc(C)c(-c2csc(Nc3cccc(C(=O)O)c3)n2)s1
SMILES(SDF),
MW(SDF),
MW(RDKit),388.474
MW Monoisotopic(RDKit),388.066382372
MolLogP(RDKit),4.36532
XLogP(SDF),
XLogP(CDK),1.939
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),104.21
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.57930441067226
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Importin subunit beta-1/Snurportin-1
Common Target Pref Name,Importin subunit beta-1/Snurportin-1
RDKit Descriptors
Ipc,935845.9159353222
qed,0.57930441067226
Chi0,18.681433796945203
Chi1,12.456728795830726
TPSA,104.21000000000001
Chi0n,14.068492075490006
Chi0v,15.701485237345457
Chi1n,7.795059486725622
Chi1v,9.491208878908242
Chi2n,5.384137895576644
Chi2v,7.241311514197444
Chi3n,3.4616748716541834
Chi3v,5.314767876022504
Chi4n,2.1840886106458473
Chi4v,3.923610437316924
MolMR,103.56370000000004
MolWt,388.4740000000001
fr_SH,0
Kappa1,18.024372748992057
Kappa2,7.626722096178303
Kappa3,4.061138490477222
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,2
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,964.5811354393654
MolLogP,4.365320000000002
NOCount,7
fr_Ar_N,2
fr_COO2,1
fr_urea,0
BalabanJ,1.787609965590908
SMR_VSA1,14.69560176298435
SMR_VSA2,0.0
SMR_VSA3,9.967957041894417
SMR_VSA4,0.0
SMR_VSA5,20.268296022307258
SMR_VSA6,10.633577208012662
SMR_VSA7,40.90291053085781
SMR_VSA8,0.0
SMR_VSA9,10.57107518854976
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,157.30732692582365
NHOHCount,3
PEOE_VSA1,15.740104602853368
PEOE_VSA2,4.794537184071822
PEOE_VSA3,14.76249422596624
PEOE_VSA4,0.0
PEOE_VSA5,11.336785877934737
PEOE_VSA6,24.32689014608697
PEOE_VSA7,25.122838405075452
PEOE_VSA8,17.488270668075486
PEOE_VSA9,21.828454675095216
RingCount,3
SMR_VSA10,50.50056000753506
fr_Al_COO,0
fr_Ar_COO,1
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,388.0663823719999
NumHDonors,3
PEOE_VSA10,0.0
PEOE_VSA11,10.263116959678666
PEOE_VSA12,5.907179729351506
PEOE_VSA13,0.0
PEOE_VSA14,5.969305287951849
SlogP_VSA1,10.633577208012662
SlogP_VSA2,26.950969454038475
SlogP_VSA3,4.794537184071822
SlogP_VSA4,6.923737199690624
SlogP_VSA5,29.39647549323391
SlogP_VSA6,29.645531044312353
SlogP_VSA7,0.0
SlogP_VSA8,10.57107518854976
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,3
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,5.969305287951849
EState_VSA2,11.470631221048501
