DLiP-ID,C000YD
DLiP-Mol-ID,31560
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C12H8Cl2O2S/c13-7-1-3-9(15)11(5-7)17-12-6-8(14)2-4-10(12)16/h1-6,15-16H"
Standard Inchi Key(RDKit),ANUSOIHIIPAHJV-UHFFFAOYSA-N
Canonical SMILES(RDKit),Oc1ccc(Cl)cc1Sc1cc(Cl)ccc1O
SMILES(SDF),
MW(SDF),
MW(RDKit),287.167
MW Monoisotopic(RDKit),285.962205856
MolLogP(RDKit),4.5558
XLogP(SDF),
XLogP(CDK),4.649
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),2
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),40.46
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),17
QED Weighted(RDKit),0.850506117985562
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,6943.445199590422
qed,0.8505061179855621
Chi0,12.41384908344359
Chi1,8.0585506480638
TPSA,40.46
Chi0n,8.522706042619989
Chi0v,10.851060515584626
Chi1n,4.709494102398219
Chi1v,6.2819196293444
Chi2n,3.3261553499969776
Chi2v,5.282803867427775
Chi3n,2.0636246259820212
Chi3v,3.627623943811034
Chi4n,1.2578917622635384
Chi4v,2.685415616139846
MolMR,70.35660000000001
MolWt,287.16700000000003
fr_SH,0
Kappa1,12.427530343158178
Kappa2,5.084854665536762
Kappa3,3.0005769040354444
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,508.6970467453647
MolLogP,4.555800000000003
NOCount,2
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.370227579270102
SMR_VSA1,10.213054789681411
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,9.79096695103555
SMR_VSA6,0.0
SMR_VSA7,46.44346903825231
SMR_VSA8,0.0
SMR_VSA9,11.49902366656781
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,2
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
