DLiP-ID,I0016C
DLiP-Mol-ID,29493
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H19ClN4/c22-21-13-18(10-12-24-21)26-17-7-5-16(6-8-17)23-11-9-15-14-25-20-4-2-1-3-19(15)20/h1-8,10,12-14,23,25H,9,11H2,(H,24,26)"
Standard Inchi Key(RDKit),UDYLHLAYFIWHCI-UHFFFAOYSA-N
Canonical SMILES(RDKit),Clc1cc(Nc2ccc(NCCc3c[nH]c4ccccc34)cc2)ccn1
SMILES(SDF),
MW(SDF),
MW(RDKit),362.864
MW Monoisotopic(RDKit),362.129824288
MolLogP(RDKit),5.6145
XLogP(SDF),
XLogP(CDK),4.315
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),52.74
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.390346772759971
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,MDM2-Like_P53
Common Target Pref Name,P53/HDM2
RDKit Descriptors
Ipc,1647961.8369871716
qed,0.3903467727599707
Chi0,17.76937394568524
Chi1,12.775989583278104
TPSA,52.739999999999995
Chi0n,14.167594861157793
Chi0v,14.923523807176249
Chi1n,8.553321185731244
Chi1v,8.931285658740471
Chi2n,6.10586478295331
Chi2v,6.493113524135004
Chi3n,4.298523247104194
Chi3v,4.505222199517043
Chi4n,2.998259998592691
Chi4v,3.172152166968462
MolMR,109.4641
MolWt,362.86400000000003
fr_SH,0
Kappa1,16.486382212937364
Kappa2,7.49886130260781
Kappa3,3.8106197006405225
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,3
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1007.8927241635836
MolLogP,5.614500000000003
NOCount,4
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.3400877015650412
SMR_VSA1,0.0
SMR_VSA2,0.0
SMR_VSA3,9.967957041894417
SMR_VSA4,0.0
SMR_VSA5,6.4208216229260096
SMR_VSA6,17.178333613925236
SMR_VSA7,83.77391913643206
