DLiP-ID,J100AV
DLiP-Mol-ID,37093
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H13F2N3O3/c1-21(2)15-10(17)6-9(7-11(15)18)19-16(22)12-8-14(24-20-12)13-4-3-5-23-13/h3-8H,1-2H3,(H,19,22)"
Standard Inchi Key(RDKit),TVNSFLPKIPODSU-UHFFFAOYSA-N
Canonical SMILES(RDKit),CN(C)c1c(F)cc(NC(=O)c2cc(-c3ccco3)on2)cc1F
SMILES(SDF),
MW(SDF),
MW(RDKit),333.294
MW Monoisotopic(RDKit),333.092497716
MolLogP(RDKit),3.5311
XLogP(SDF),
XLogP(CDK),2.817
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),71.51
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),24
QED Weighted(RDKit),0.790671222125417
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,GATA4/NKX2-5
Common Target Pref Name,GATA4/NKX2-5
RDKit Descriptors
Ipc,355065.82041741133
qed,0.7906712221254173
Chi0,17.26722023457211
Chi1,11.452397498181153
TPSA,71.51
Chi0n,12.839202623547717
Chi0v,12.839202623547717
Chi1n,6.937646750265825
Chi1v,6.937646750265825
Chi2n,5.190754685656493
Chi2v,5.190754685656493
Chi3n,3.2287954844318025
Chi3v,3.2287954844318025
Chi4n,2.177149828373502
Chi4v,2.177149828373502
MolMR,82.84320000000002
MolWt,333.29400000000004
fr_SH,0
Kappa1,15.724934716799421
Kappa2,6.149541773552636
Kappa3,2.9822180240816585
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,849.5824230380689
MolLogP,3.5311000000000012
NOCount,6
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.8028836890938766
SMR_VSA1,22.515613153448157
SMR_VSA2,0.0
SMR_VSA3,5.156663257125445
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,24.31204230021119
SMR_VSA7,53.92336801488736
SMR_VSA8,0.0
SMR_VSA9,11.520494837748885
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
