DLiP-ID,C000GC
DLiP-Mol-ID,30775
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C14H18N6O8/c1-2-27-14(21)16-6-3-7-17(9-8-16)20(26)15-28-13-5-4-11(18(22)23)10-12(13)19(24)25/h4-5,10H,2-3,6-9H2,1H3"
Standard Inchi Key(RDKit),CBRJDKTVZPKXFR-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCOC(=O)N1CCCN([N+]([O-])=NOc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])CC1
SMILES(SDF),
MW(SDF),
MW(RDKit),398.332
MW Monoisotopic(RDKit),398.118611536
MolLogP(RDKit),1.8385
XLogP(SDF),
XLogP(CDK),0.375
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),9
HBA Lipinski(RDKit),14
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),166.72
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),28
QED Weighted(RDKit),0.300343874332185
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,1422280.474628023
qed,0.3003438743321846
Chi0,20.681433796945203
Chi1,13.328606258093465
TPSA,166.72000000000003
Chi0n,14.923959391398819
Chi0v,14.923959391398819
Chi1n,8.277364795517363
Chi1v,8.277364795517363
Chi2n,5.58511087131282
Chi2v,5.58511087131282
Chi3n,3.7993214549436827
Chi3v,3.7993214549436827
Chi4n,2.4420103744527215
Chi4v,2.4420103744527215
MolMR,91.21920000000003
MolWt,398.3320000000002
fr_SH,0
Kappa1,20.600076501276373
Kappa2,9.29151021680781
