DLiP-ID,C003BK
DLiP-Mol-ID,33806
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C26H21N3O/c30-25-26(18-20-10-14-27-15-11-20,19-21-12-16-28-17-13-21)23-8-4-5-9-24(23)29(25)22-6-2-1-3-7-22/h1-17H,18-19H2"
Standard Inchi Key(RDKit),YEJCDKJIEMIWRQ-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C1N(c2ccccc2)c2ccccc2C1(Cc1ccncc1)Cc1ccncc1
SMILES(SDF),
MW(SDF),
MW(RDKit),391.474
MW Monoisotopic(RDKit),391.168462292
MolLogP(RDKit),4.8781
XLogP(SDF),
XLogP(CDK),3.801
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),46.09
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.487162432476473
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
Common Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
RDKit Descriptors
Ipc,14842720.950932687
qed,0.48716243247647345
Chi0,20.390694289244877
Chi1,14.777623557537764
TPSA,46.09
Chi0n,16.479057215560477
Chi0v,16.479057215560477
Chi1n,10.04802140326878
Chi1v,10.04802140326878
