DLiP-ID,C101GU
DLiP-Mol-ID,36337
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C25H29NO5/c1-5-31-20-9-7-6-8-19(20)23(28)21-22(18-12-10-17(11-13-18)15(2)3)26(14-16(4)27)25(30)24(21)29/h6-13,15-16,22,27,29H,5,14H2,1-4H3"
Standard Inchi Key(RDKit),WZLWEWPBYALHJR-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCOc1ccccc1C(=O)C1=C(O)C(=O)N(CC(C)O)C1c1ccc(C(C)C)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),423.509
MW Monoisotopic(RDKit),423.204573028
MolLogP(RDKit),4.1678
XLogP(SDF),
XLogP(CDK),4.944
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),87.07
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),31
QED Weighted(RDKit),0.622568136667501
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Annexin A2/S100-A10
Common Target Pref Name,Annexin A2/S100-A10
RDKit Descriptors
Ipc,7470967.072742363
qed,0.6225681366675014
Chi0,22.706377823327532
Chi1,14.756126613022031
TPSA,87.07000000000001
Chi0n,18.331452181350446
Chi0v,18.331452181350446
Chi1n,10.543035468541
Chi1v,10.543035468541
Chi2n,8.051017489065133
Chi2v,8.051017489065133
Chi3n,5.359611649622344
Chi3v,5.359611649622344
Chi4n,3.8490113658770375
Chi4v,3.8490113658770375
MolMR,118.26210000000003
MolWt,423.50900000000007
fr_SH,0
Kappa1,22.562650279834198
Kappa2,9.35027901569624
Kappa3,4.489321713424308
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,991.2268732420129
MolLogP,4.167800000000003
NOCount,6
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.109474089128055
SMR_VSA1,24.538992111625106
SMR_VSA2,0.0
SMR_VSA3,4.899909730850478
SMR_VSA4,0.0
SMR_VSA5,45.75866206182015
SMR_VSA6,13.151638370425493
SMR_VSA7,76.55356042450933
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,2
fr_Ar_NH,0
