DLiP-ID,C100FG
DLiP-Mol-ID,35008
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C13H10ClNOS/c14-10-7-5-9(6-8-10)13(16)15-11-3-1-2-4-12(11)17/h1-8,17H,(H,15,16)"
Standard Inchi Key(RDKit),RWCZFCJUMZVTJK-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(Nc1ccccc1S)c1ccc(Cl)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),263.749
MW Monoisotopic(RDKit),263.01716262
MolLogP(RDKit),3.881
XLogP(SDF),
XLogP(CDK),3.993
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),2
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),29.1
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),17
QED Weighted(RDKit),0.791318621261136
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Tumour suppressor p53/oncoprotein Mdm2
Common Target Pref Name,P53/HDM2
RDKit Descriptors
Ipc,8311.938213854606
qed,0.7913186212611362
Chi0,12.25071237662706
Chi1,8.164703797946446
TPSA,29.1
Chi0n,8.852228512490056
Chi0v,10.502584649508428
Chi1n,5.015430653722069
Chi1v,5.840608722231255
Chi2n,3.47816622849661
Chi2v,4.396407696465735
Chi3n,2.258660526861978
Chi3v,2.9006108844500194
Chi4n,1.3750880503290652
Chi4v,1.7175798032686826
MolMR,73.09920000000002
MolWt,263.74899999999997
fr_SH,1
Kappa1,12.018779949069469
Kappa2,5.253497032954607
Kappa3,3.019306754589083
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,0
fr_NH1,1
fr_NH2,0
fr_N_O,0
