DLiP-ID,I0015G
DLiP-Mol-ID,29447
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C17H32N4O3/c1-10(2)9-19-16(23)13-7-6-8-21(13)17(24)14(11(3)4)20-15(22)12(5)18/h10-14H,6-9,18H2,1-5H3,(H,19,23)(H,20,22)/t12-,13-,14-/m0/s1"
Standard Inchi Key(RDKit),TWHNXFZXAMDVAL-IHRRRGAJSA-N
Canonical SMILES(RDKit),CC(C)CNC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)[C@H](C)N)C(C)C
SMILES(SDF),
MW(SDF),
MW(RDKit),340.468
MW Monoisotopic(RDKit),340.247440884
MolLogP(RDKit),0.237600000000003
XLogP(SDF),
XLogP(CDK),0.486
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),104.53
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),1
Aromatic Rings(RDKit),0
nAtoms(SDF),
Heavy Atoms(RDKit),24
QED Weighted(RDKit),0.617182718554777
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,XIAP_Smac
Common Target Pref Name,XIAP/SMAC
RDKit Descriptors
Ipc,141921.7755649214
qed,0.6171827185547774
Chi0,18.43879310982592
Chi1,11.145642165489813
TPSA,104.53
Chi0n,15.464487206775495
Chi0v,15.464487206775495
Chi1n,8.788574411724822
Chi1v,8.788574411724822
Chi2n,7.3476080498319885
