DLiP-ID,J000EB
DLiP-Mol-ID,27264
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C24H26N4O2/c1-30-23-13-20(9-10-25-23)24(29)28(14-17-7-8-17)15-18-4-2-5-19(12-18)21-16-27-11-3-6-22(27)26-21/h2,4-5,9-10,12-13,16-17H,3,6-8,11,14-15H2,1H3"
Standard Inchi Key(RDKit),OTONOFNXSMNLHM-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1cc(C(=O)N(Cc2cccc(-c3cn4c(n3)CCC4)c2)CC2CC2)ccn1
SMILES(SDF),
MW(SDF),
MW(RDKit),402.498
MW Monoisotopic(RDKit),402.205576072
MolLogP(RDKit),3.9523
XLogP(SDF),
XLogP(CDK),4.13
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),60.25
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.600354869383313
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,WDR5/Mixed-lineage leukemia 1 (MLL1)
Common Target Pref Name,WDR5/Mixed-lineage leukemia 1 (MLL1)
RDKit Descriptors
Ipc,14239438.040553836
qed,0.6003548693833124
Chi0,20.501424753254113
Chi1,14.691004483450632
TPSA,60.25
Chi0n,17.251250853940025
Chi0v,17.251250853940025
Chi1n,10.640864376559097
Chi1v,10.640864376559097
Chi2n,8.25562583343707
Chi2v,8.25562583343707
Chi3n,5.908407335199978
Chi3v,5.908407335199978
Chi4n,4.111393092871285
Chi4v,4.111393092871285
MolMR,114.23750000000004
MolWt,402.4980000000003
fr_SH,0
Kappa1,18.851896561235026
Kappa2,7.935758424278129
Kappa3,3.94616145627226
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,4
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1049.0728185449889
MolLogP,3.952300000000003
NOCount,6
fr_Ar_N,3
fr_COO2,0
fr_urea,0
BalabanJ,1.3824267268514567
SMR_VSA1,9.53140013787187
SMR_VSA2,0.0
SMR_VSA3,19.43496642053625
SMR_VSA4,5.917906046161393
SMR_VSA5,38.7727993035292
SMR_VSA6,13.65455394719011
SMR_VSA7,65.74319703538974
SMR_VSA8,0.0
SMR_VSA9,17.137367822980828
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,176.0766792377893
NHOHCount,0
PEOE_VSA1,14.203872332441883
PEOE_VSA2,4.794537184071822
PEOE_VSA3,9.967957041894417
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,18.19910120538483
PEOE_VSA7,42.87655654355964
PEOE_VSA8,55.642048035745475
PEOE_VSA9,12.803725536125995
RingCount,5
SMR_VSA10,5.907179729351506
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,402.205576072
NumHDonors,0
PEOE_VSA10,5.824404497999927
PEOE_VSA11,0.0
PEOE_VSA12,5.879988336435371
PEOE_VSA13,5.907179729351506
PEOE_VSA14,0.0
SlogP_VSA1,4.736862953800049
SlogP_VSA2,38.99670009707786
SlogP_VSA3,19.51033443475116
SlogP_VSA4,5.917906046161393
SlogP_VSA5,41.008309534243764
SlogP_VSA6,48.791889553995816
SlogP_VSA7,0.0
SlogP_VSA8,11.257379486545457
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,1
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,0.0
EState_VSA2,5.907179729351506
