DLiP-ID,C001KP
DLiP-Mol-ID,32513
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H21N3O8S.Zn/c1-7(20)27-5-8-6-28-14-11(13(22)19(14)12(8)16(25)26)18-10(21)4-2-3-9(17)15(23)24;/h9,11,14H,2-6,17H2,1H3,(H,18,21)(H,23,24)(H,25,26);/q;+2/p-2/t9-,11-,14-;/m1./s1"
Standard Inchi Key(RDKit),TVMXJQZBKOMFQK-OOARYINLSA-L
Canonical SMILES(RDKit),CC(=O)OCC1=C(C(=O)[O-])N2C(=O)[C@@H](NC(=O)CCC[C@@H](N)C(=O)[O-])[C@H]2SC1.[Zn+2]
SMILES(SDF),
MW(SDF),
MW(RDKit),478.798
MW Monoisotopic(RDKit),477.018427768
MolLogP(RDKit),-3.8016
XLogP(SDF),
XLogP(CDK),
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),10
HBA Lipinski(RDKit),11
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),181.99
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),9
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),0
nAtoms(SDF),
Heavy Atoms(RDKit),29
QED Weighted(RDKit),0.189196418028586
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,863378.1799576762
qed,0.1891964180285864
Chi0,21.007707210578268
Chi1,13.128805413084205
TPSA,181.99
Chi0n,15.673489973552519
Chi0v,19.457114387468465
Chi1n,8.403058709382503
Chi1v,9.45181349936316
