DLiP-ID,T002SJ
DLiP-Mol-ID,19222
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H23NO2/c1-13(2)15-6-3-14(4-7-15)5-8-16(18)17-9-11-19-12-10-17/h3-4,6-7,13H,5,8-12H2,1-2H3"
Standard Inchi Key(RDKit),JFZJKJXRRUHNON-UHFFFAOYSA-N
Canonical SMILES(RDKit),CC(C)c1ccc(CCC(=O)N2CCOCC2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),261.365
MW Monoisotopic(RDKit),261.172878976
MolLogP(RDKit),2.6014
XLogP(SDF),
XLogP(CDK),2.555
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),29.54
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),19
QED Weighted(RDKit),0.833506970044909
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,FKBP1A/FK506
Common Target Pref Name,FKBP1A/FK506
RDKit Descriptors
Ipc,24069.34700893532
qed,0.833506970044909
Chi0,13.664925939000156
Chi1,9.164703797946448
TPSA,29.540000000000003
Chi0n,11.893102209495101
Chi0v,11.893102209495101
Chi1n,7.109386403411744
Chi1v,7.109386403411744
Chi2n,5.389441300362371
Chi2v,5.389441300362371
Chi3n,3.63771659582449
Chi3v,3.63771659582449
Chi4n,2.291340838162994
Chi4v,2.291340838162994
MolMR,76.25100000000005
MolWt,261.3649999999999
fr_SH,0
Kappa1,14.067454304997518
Kappa2,6.711337425786568
Kappa3,4.0648085164467975
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,405.2620391748402
MolLogP,2.601400000000001
NOCount,3
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.82222514671737
SMR_VSA1,9.53140013787187
SMR_VSA2,0.0
SMR_VSA3,4.899909730850478
SMR_VSA4,0.0
SMR_VSA5,32.60702369139466
SMR_VSA6,26.303276740850986
SMR_VSA7,35.392371257240434
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,115.10989410968784
NHOHCount,0
