DLiP-ID,T000XT
DLiP-Mol-ID,16699
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H29N3O5/c1-12(23)9-22-16(24)8-14-17-18(27-19(2,3)26-17)15(25-14)11-21-10-13-4-6-20-7-5-13/h4-7,12,14-15,17-18,21,23H,8-11H2,1-3H3,(H,22,24)/t12-,14-,15+,17+,18-/m1/s1"
Standard Inchi Key(RDKit),CROCEQMKCMIFJZ-CNGORYIKSA-N
Canonical SMILES(RDKit),C[C@@H](O)CNC(=O)C[C@H]1O[C@@H](CNCc2ccncc2)[C@H]2OC(C)(C)O[C@@H]12
SMILES(SDF),
MW(SDF),
MW(RDKit),379.457
MW Monoisotopic(RDKit),379.210721028
MolLogP(RDKit),0.345800000000002
XLogP(SDF),
XLogP(CDK),-0.465
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),101.94
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),27
QED Weighted(RDKit),0.598814738452196
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Neuropilin-1/VEGF-A
Common Target Pref Name,Neuropilin-1/VEGF-A
RDKit Descriptors
Ipc,1188175.1233573286
qed,0.5988147384521961
Chi0,19.44094682093905
Chi1,12.838137074321782
TPSA,101.94000000000001
Chi0n,16.051999900308193
Chi0v,16.051999900308193
Chi1n,9.393657175923218
Chi1v,9.393657175923218
Chi2n,7.621334966165351
Chi2v,7.621334966165351
Chi3n,4.651267379381447
Chi3v,4.651267379381447
Chi4n,3.475998963273633
Chi4v,3.475998963273633
MolMR,97.73720000000006
MolWt,379.4570000000001
fr_SH,0
Kappa1,20.161923590728232
Kappa2,8.61958191339105
Kappa3,5.458757188514885
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,625.0309542044564
MolLogP,0.3458000000000019
NOCount,8
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.5542995971099753
SMR_VSA1,24.111653440312676
SMR_VSA2,0.0
SMR_VSA3,15.617555728959871
SMR_VSA4,0.0
SMR_VSA5,70.04373271922255
SMR_VSA6,13.08951281182515
SMR_VSA7,30.08987277184637
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,1
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,3
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,159.14469430291405
NHOHCount,3
PEOE_VSA1,29.950693464253515
PEOE_VSA2,9.77851570501903
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,0.0
PEOE_VSA7,38.46739722769209
PEOE_VSA8,32.02795636096388
PEOE_VSA9,24.732720786170916
RingCount,3
SMR_VSA10,5.907179729351506
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,379.21072102799997
NumHDonors,3
PEOE_VSA10,12.207932775496605
PEOE_VSA11,5.7871111525705965
PEOE_VSA12,5.907179729351506
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,10.633577208012662
SlogP_VSA2,65.39414154827668
SlogP_VSA3,25.549882451384544
SlogP_VSA4,0.0
SlogP_VSA5,32.75548471369488
SlogP_VSA6,24.52642128014937
