DLiP-ID,C003BF
DLiP-Mol-ID,33801
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C6H6O3/c7-4-2-1-3-5(8)6(4)9/h1-3,7-9H"
Standard Inchi Key(RDKit),WQGWDDDVZFFDIG-UHFFFAOYSA-N
Canonical SMILES(RDKit),Oc1cccc(O)c1O
SMILES(SDF),
MW(SDF),
MW(RDKit),126.111
MW Monoisotopic(RDKit),126.031694052
MolLogP(RDKit),0.8034
XLogP(SDF),
XLogP(CDK),1.394
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),60.69
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),0
nRings(SDF),
nRings(RDKit),1
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),9
QED Weighted(RDKit),0.450466295534514
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
Common Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
RDKit Descriptors
Ipc,109.737515096202
qed,0.45046629553451434
Chi0,6.8533711511285205
Chi1,4.21521405516327
TPSA,60.69
Chi0n,4.573691594068752
Chi0v,4.573691594068752
Chi1n,2.4148373291062297
Chi1v,2.4148373291062297
Chi2n,1.644871042905141
Chi2v,1.644871042905141
Chi3n,0.9934283659425045
Chi3v,0.9934283659425045
Chi4n,0.5194891855665769
Chi4v,0.5194891855665769
MolMR,31.436399999999992
MolWt,126.11099999999998
fr_SH,0
Kappa1,5.751233595800525
Kappa2,1.8538798628179078
Kappa3,0.8872034679438723
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,199.2929995478469
MolLogP,0.8033999999999997
NOCount,3
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,3.2478347337367026
SMR_VSA1,15.319582184522117
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,0.0
SMR_VSA7,18.19910120538483
SMR_VSA8,0.0
SMR_VSA9,17.248535499851716
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,3
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,51.814104376085
NHOHCount,3
PEOE_VSA1,15.319582184522117
