DLiP-ID,C0000D
DLiP-Mol-ID,30086
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H21N5O4/c1-26-15-10-12-13(11-16(15)27-2)21-19(22-17(12)20)24-7-5-23(6-8-24)18(25)14-4-3-9-28-14/h3-4,9-11H,5-8H2,1-2H3,(H2,20,21,22)"
Standard Inchi Key(RDKit),IENZQIKPVFGBNW-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC
SMILES(SDF),
MW(SDF),
MW(RDKit),383.408
MW Monoisotopic(RDKit),383.159354152
MolLogP(RDKit),1.7846
XLogP(SDF),
XLogP(CDK),1.463
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),8
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),106.95
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),28
QED Weighted(RDKit),0.72656217878931
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,3978710.0741223022
qed,0.7265621787893097
Chi0,19.67299762850793
Chi1,13.600886748174158
TPSA,106.95
Chi0n,15.714376283739233
Chi0v,15.714376283739233
Chi1n,8.873964747053739
Chi1v,8.873964747053739
Chi2n,6.389738022853099
Chi2v,6.389738022853099
Chi3n,4.800418405376754
Chi3v,4.800418405376754
Chi4n,3.2736570334215203
Chi4v,3.2736570334215203
MolMR,103.87890000000003
MolWt,383.40800000000024
fr_SH,0
Kappa1,17.90059178242709
Kappa2,7.2590390510378
Kappa3,3.148977667080556
fr_ArN,1
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,4
fr_NH1,0
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,997.2266742298812
MolLogP,1.7845999999999997
NOCount,9
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.5561913356619825
SMR_VSA1,18.685414028725265
SMR_VSA2,0.0
SMR_VSA3,14.867866772744893
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,51.03219791421803
SMR_VSA7,36.28887868835994
SMR_VSA8,0.0
SMR_VSA9,11.49902366656781
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,2
fr_furan,1
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
