DLiP-ID,I000L1
DLiP-Mol-ID,28565
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H17NO6/c21-13-2-1-11(7-14(13)22)17-10-16(24)19-15(23)8-12(9-18(19)26-17)20-3-5-25-6-4-20/h1-2,7-10,21-23H,3-6H2"
Standard Inchi Key(RDKit),JXEJTHPNNOJYJU-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=c1cc(-c2ccc(O)c(O)c2)oc2cc(N3CCOCC3)cc(O)c12
SMILES(SDF),
MW(SDF),
MW(RDKit),355.346
MW Monoisotopic(RDKit),355.105587264
MolLogP(RDKit),2.4134
XLogP(SDF),
XLogP(CDK),3.758
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),103.37
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.606593944456878
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,LEDGF_IN
Common Target Pref Name,LEDGF/IN
RDKit Descriptors
Ipc,1023454.9993441828
qed,0.6065939444568782
Chi0,18.258784066134833
Chi1,12.524877143252588
TPSA,103.37
Chi0n,13.80612799327537
Chi0v,13.80612799327537
Chi1n,8.186690107200477
Chi1v,8.186690107200477
Chi2n,6.115847171248123
