DLiP-ID,T007ZR
DLiP-Mol-ID,26375
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H16N2O3S/c1-11(19)18-13-6-2-3-7-14(13)22-15(9-16(20)21)12-5-4-8-17-10-12/h2-8,10,15H,9H2,1H3,(H,18,19)(H,20,21)"
Standard Inchi Key(RDKit),ZJUSNIGZMLUTGD-UHFFFAOYSA-N
Canonical SMILES(RDKit),CC(=O)Nc1ccccc1SC(CC(=O)O)c1cccnc1
SMILES(SDF),
MW(SDF),
MW(RDKit),316.382
MW Monoisotopic(RDKit),316.088163372
MolLogP(RDKit),3.3481
XLogP(SDF),
XLogP(CDK),1.621
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),79.29
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),22
QED Weighted(RDKit),0.798991070833416
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,85130.91269980122
qed,0.7989910708334157
Chi0,15.94938298937633
Chi1,10.558550648063802
TPSA,79.29
Chi0n,12.022431266284688
Chi0v,12.838927847212414
Chi1n,6.709923294033481
Chi1v,7.589576105288376
Chi2n,4.668059994366418
Chi2v,5.9126242541182314
Chi3n,2.8832023477988127
Chi3v,4.216482198293204
Chi4n,1.968172182632856
Chi4v,3.1792902727245913
MolMR,85.83350000000004
MolWt,316.38199999999995
fr_SH,0
Kappa1,16.037850394859284
Kappa2,7.6065668490800125
Kappa3,4.59524141735313
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,661.4503115004375
MolLogP,3.3481000000000014
NOCount,5
fr_Ar_N,1
fr_COO2,1
fr_urea,0
BalabanJ,2.274948613180908
SMR_VSA1,14.69560176298435
SMR_VSA2,0.0
SMR_VSA3,4.9839785209472085
SMR_VSA4,0.0
SMR_VSA5,23.489980328116584
SMR_VSA6,5.316788604006331
SMR_VSA7,54.35534104569281
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,132.3231060397474
NHOHCount,2
PEOE_VSA1,10.423315998847038
PEOE_VSA2,14.573052889090853
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,11.761884949391115
PEOE_VSA6,18.19910120538483
PEOE_VSA7,23.762552697081826
PEOE_VSA8,29.462845848416727
PEOE_VSA9,12.10820789760957
RingCount,2
SMR_VSA10,29.32575624137803
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,316.088163372
NumHDonors,2
PEOE_VSA10,0.0
PEOE_VSA11,0.0
PEOE_VSA12,5.907179729351506
PEOE_VSA13,0.0
PEOE_VSA14,5.969305287951849
SlogP_VSA1,5.316788604006331
SlogP_VSA2,21.96699093309127
SlogP_VSA3,9.589074368143644
SlogP_VSA4,0.0
SlogP_VSA5,24.157948344295804
SlogP_VSA6,53.68737302951358
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,1
fr_sulfone,0
EState_VSA1,5.969305287951849
EState_VSA2,17.57793938225969
EState_VSA3,5.687386274683562
EState_VSA4,10.45893496721477
