DLiP-ID,T005FM
DLiP-Mol-ID,22399
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H31N3O3/c1-3-16(2)14-22-20(25)23-12-5-4-10-18(23)19(24)26-13-7-9-17-8-6-11-21-15-17/h6,8,11,15-16,18H,3-5,7,9-10,12-14H2,1-2H3,(H,22,25)"
Standard Inchi Key(RDKit),RATDZOGGTIZXPX-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCC(C)CNC(=O)N1CCCCC1C(=O)OCCCc1cccnc1
SMILES(SDF),
MW(SDF),
MW(RDKit),361.486
MW Monoisotopic(RDKit),361.236541852
MolLogP(RDKit),3.1676
XLogP(SDF),
XLogP(CDK),2.783
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),71.53
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.570174497799239
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,FKBP1A/FK506
Common Target Pref Name,FKBP1A/FK506
RDKit Descriptors
Ipc,727544.1102747115
qed,0.5701744977992386
Chi0,18.777810114122516
Chi1,12.613392202930193
TPSA,71.53
Chi0n,15.947234708208192
Chi0v,15.947234708208192
Chi1n,9.714479576704326
Chi1v,9.714479576704326
Chi2n,7.036771666364503
Chi2v,7.036771666364503
Chi3n,4.911313581462059
Chi3v,4.911313581462059
Chi4n,3.0183617259930595
Chi4v,3.0183617259930595
MolMR,100.71570000000006
MolWt,361.48600000000005
fr_SH,0
Kappa1,20.204957528674584
Kappa2,10.785201844770373
Kappa3,6.316067391719603
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,564.6796507156322
MolLogP,3.167600000000002
NOCount,6
fr_Ar_N,1
fr_COO2,0
fr_urea,1
BalabanJ,1.7749156878558212
SMR_VSA1,14.325937321943693
SMR_VSA2,0.0
SMR_VSA3,15.200676855804016
SMR_VSA4,5.917906046161393
SMR_VSA5,58.41424496608528
SMR_VSA6,19.696394776338067
SMR_VSA7,30.08987277184637
SMR_VSA8,0.0
