DLiP-ID,T000UG
DLiP-Mol-ID,16567
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H23N5O4/c1-24-10-13-8-12(6-7-15(13)23-16(20(24)29)9-18(26)27)19(28)25(2)11-14-4-3-5-17(21)22-14/h3-8,16,23H,9-11H2,1-2H3,(H2,21,22)(H,26,27)/t16-/m0/s1"
Standard Inchi Key(RDKit),CKOFIJIOKWWZBE-INIZCTEOSA-N
Canonical SMILES(RDKit),CN(Cc1cccc(N)n1)C(=O)c1ccc2c(c1)CN(C)C(=O)[C@H](CC(=O)O)N2
SMILES(SDF),
MW(SDF),
MW(RDKit),397.435
MW Monoisotopic(RDKit),397.175004216
MolLogP(RDKit),1.1632
XLogP(SDF),
XLogP(CDK),1.176
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),128.86
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),29
QED Weighted(RDKit),0.690409590498924
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,2476650.3365150583
qed,0.690409590498924
Chi0,21.12902755413791
Chi1,13.740091198415858
TPSA,128.85999999999999
Chi0n,16.253721750468074
Chi0v,16.253721750468074
Chi1n,9.074273821076284
Chi1v,9.074273821076284
Chi2n,7.076017101257582
Chi2v,7.076017101257582
Chi3n,4.716675257747921
Chi3v,4.716675257747921
Chi4n,3.281625837812964
Chi4v,3.281625837812964
MolMR,107.02640000000005
MolWt,397.4350000000001
fr_SH,0
Kappa1,20.122972455408043
Kappa2,8.173161596826187
Kappa3,4.625574347313485
fr_ArN,1
fr_COO,1
fr_C_O,3
fr_C_S,0
fr_NH0,3
fr_NH1,1
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,961.6377855010174
MolLogP,1.1631999999999996
NOCount,9
fr_Ar_N,1
fr_COO2,1
fr_urea,0
BalabanJ,1.8047091682271952
SMR_VSA1,19.490138947056174
SMR_VSA2,0.0
SMR_VSA3,14.783797982648164
SMR_VSA4,0.0
