DLiP-ID,T001QE
DLiP-Mol-ID,17564
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C25H35N7O2/c26-25(27)29-23(19-9-5-2-6-10-19)24(34)28-16-22(33)32-13-11-18(12-14-32)21-15-20(30-31-21)17-7-3-1-4-8-17/h1,3-4,7-8,15,18-19,23H,2,5-6,9-14,16H2,(H,28,34)(H,30,31)(H4,26,27,29)/t23-/m1/s1"
Standard Inchi Key(RDKit),FZWVIIDKIBNWGP-HSZRJFAPSA-N
Canonical SMILES(RDKit),N=C(N)N[C@@H](C(=O)NCC(=O)N1CCC(c2cc(-c3ccccc3)[nH]n2)CC1)C1CCCCC1
SMILES(SDF),
MW(SDF),
MW(RDKit),465.602
MW Monoisotopic(RDKit),465.28522336
MolLogP(RDKit),2.33087
XLogP(SDF),
XLogP(CDK),3.773
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),5
HBD Lipinski(RDKit),6
PSA(SDF),
PSA(RDKit),139.99
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),34
QED Weighted(RDKit),0.315334572870001
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,IL-2/IL-2Ra
Common Target Pref Name,IL2/IL2R
RDKit Descriptors
Ipc,71394325.94074813
qed,0.31533457287000144
Chi0,23.9156383156272
Chi1,16.50804039084698
TPSA,139.99
Chi0n,19.555494275689373
Chi0v,19.555494275689373
Chi1n,12.277691902214645
Chi1v,12.277691902214645
Chi2n,9.379148716161549
Chi2v,9.379148716161549
Chi3n,7.076958720899345
Chi3v,7.076958720899345
Chi4n,5.1535891800006235
Chi4v,5.1535891800006235
MolMR,131.0012
MolWt,465.6020000000003
fr_SH,0
Kappa1,23.78664468577553
Kappa2,11.17653398609546
Kappa3,5.950188247088227
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,2
fr_NH1,4
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,976.1601921173605
MolLogP,2.33087
NOCount,9
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.2571749923858992
SMR_VSA1,9.589074368143644
SMR_VSA2,5.409283605791522
