DLiP-ID,C101LD
DLiP-Mol-ID,40151
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H23FN2O3.ClH/c1-24-12-14-25(15-13-24)22(27)16-28-19-9-6-18(7-10-19)21(26)11-8-17-4-2-3-5-20(17)23;/h2-11H,12-16H2,1H3;1H/b11-8+;"
Standard Inchi Key(RDKit),CXFHNMKWXCFSAJ-YGCVIUNWSA-N
Canonical SMILES(RDKit),CN1CCN(C(=O)COc2ccc(C(=O)/C=C/c3ccccc3F)cc2)CC1.Cl
SMILES(SDF),
MW(SDF),
MW(RDKit),418.896
MW Monoisotopic(RDKit),418.145948528
MolLogP(RDKit),3.2964
XLogP(SDF),
XLogP(CDK),3.393
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),49.85
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),29
QED Weighted(RDKit),0.533245192447795
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Keap1/Nrf2
Common Target Pref Name,KEAP1/NRF2
RDKit Descriptors
Ipc,2288071.662734907
qed,0.5332451924477948
Chi0,19.932510652501765
Chi1,13.524877143252587
TPSA,49.85
Chi0n,16.214421423693594
Chi0v,17.03091800462132
Chi1n,9.188715731464285
Chi1v,9.188715731464285
Chi2n,6.716212205525621
Chi2v,6.716212205525621
Chi3n,4.676616008504715
Chi3v,4.676616008504715
Chi4n,2.879588619088692
Chi4v,2.879588619088692
MolMR,113.02650000000004
MolWt,418.89600000000013
fr_SH,0
Kappa1,22.587673254706218
Kappa2,10.7378023273365
Kappa3,6.407230989555392
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,862.6160274978396
MolLogP,3.2964000000000024
NOCount,5
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.9999953766740996e-06
SMR_VSA1,18.716352369618512
SMR_VSA2,0.0
SMR_VSA3,9.799819461700956
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,39.833579570840406
SMR_VSA7,71.55108047896665
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,175.71736970929044
NHOHCount,0
PEOE_VSA1,14.536682415501005
PEOE_VSA2,9.589074368143644
PEOE_VSA3,4.39041504767482
PEOE_VSA4,0.0
PEOE_VSA5,12.407033161179976
PEOE_VSA6,18.19910120538483
PEOE_VSA7,49.531547538653
PEOE_VSA8,37.305928607044294
PEOE_VSA9,0.0
RingCount,3
SMR_VSA10,30.173477943730305
