DLiP-ID,C101EX
DLiP-Mol-ID,34679
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H22Cl2N2O/c24-19-8-6-16(7-9-19)22-21(17-2-1-3-20(25)12-17)13-18(10-11-26)23(28)27(22)14-15-4-5-15/h1-3,6-9,12,15,18,21-22H,4-5,10,13-14H2/t18-,21+,22+/m0/s1"
Standard Inchi Key(RDKit),AYQBXECMFVFZFI-VLCRHTCISA-N
Canonical SMILES(RDKit),N#CC[C@H]1C[C@H](c2cccc(Cl)c2)[C@@H](c2ccc(Cl)cc2)N(CC2CC2)C1=O
SMILES(SDF),
MW(SDF),
MW(RDKit),413.348
MW Monoisotopic(RDKit),412.110918684
MolLogP(RDKit),5.99048000000001
XLogP(SDF),
XLogP(CDK),4.884
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),44.1
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),28
QED Weighted(RDKit),0.604391000615966
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Tumour suppressor p53/oncoprotein Mdm2
Common Target Pref Name,P53/HDM2
RDKit Descriptors
Ipc,4574385.338360197
qed,0.6043910006159663
Chi0,19.672997628507925
Chi1,13.562881945713373
TPSA,44.1
Chi0n,15.522341563690485
Chi0v,17.034199455727393
Chi1n,9.748865150091177
Chi1v,10.50479409610963
