DLiP-ID,T003DB
DLiP-Mol-ID,20113
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C14H11N3O3S/c1-20-14(19)17-13-15-9-5-4-8(7-10(9)16-13)12(18)11-3-2-6-21-11/h2-7H,1H3,(H2,15,16,17,19)"
Standard Inchi Key(RDKit),KYRVNWMVYQXFEU-UHFFFAOYSA-N
Canonical SMILES(RDKit),COC(=O)Nc1nc2ccc(C(=O)c3cccs3)cc2[nH]1
SMILES(SDF),
MW(SDF),
MW(RDKit),301.327
MW Monoisotopic(RDKit),301.052112212
MolLogP(RDKit),3.0337
XLogP(SDF),
XLogP(CDK),2.279
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),84.08
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),21
QED Weighted(RDKit),0.728227831817511
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Tubulin dimer
Common Target Pref Name,Tubulin dimer
RDKit Descriptors
Ipc,107840.65020688539
qed,0.7282278318175113
Chi0,14.819626477379408
Chi1,10.16903509559602
TPSA,84.07999999999998
Chi0n,11.044308372493168
Chi0v,11.860804953420894
Chi1n,6.101036400261128
Chi1v,6.980689211516023
Chi2n,4.24034563338049
Chi2v,5.188039826379362
Chi3n,2.8948946069672448
Chi3v,3.763524273841842
Chi4n,1.9077825941501374
Chi4v,2.5935502942824127
MolMR,79.87290000000002
MolWt,301.327
fr_SH,0
Kappa1,13.319405260810983
Kappa2,5.372133619700066
Kappa3,2.632903728993828
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,1
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,808.1033892437082
MolLogP,3.0337000000000005
NOCount,6
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.9285444012390132
SMR_VSA1,14.325937321943691
SMR_VSA2,0.0
SMR_VSA3,9.967957041894417
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,12.426586145283864
SMR_VSA7,46.15249679817226
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,123.3206114860608
NHOHCount,2
