DLiP-ID,C001JM
DLiP-Mol-ID,32474
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H10ClN3O2S/c1-9-5-6-12-13(7-9)23-15-18-14(21)19(16(22)20(12)15)11-4-2-3-10(17)8-11/h2-8H,1H3"
Standard Inchi Key(RDKit),TWFOMURCRPDYHN-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1ccc2c(c1)sc1nc(=O)n(-c3cccc(Cl)c3)c(=O)n12
SMILES(SDF),
MW(SDF),
MW(RDKit),343.795
MW Monoisotopic(RDKit),343.01822524
MolLogP(RDKit),3.02192
XLogP(SDF),
XLogP(CDK),4.949
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),56.37
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),1
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),23
QED Weighted(RDKit),0.533556923047271
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,253369.29848997123
qed,0.533556923047271
Chi0,16.13746372257519
Chi1,11.041713895658196
TPSA,56.370000000000005
Chi0n,11.985802015228073
Chi0v,13.558227542174254
Chi1n,6.853734276190677
