DLiP-ID,P000DL
fMF,0.5
nBr,0
nCl,1
AMID,2.0176531114979004
BIC0,0.35322343213418267
BIC1,0.6590231425999828
BIC2,0.805073992317582
BIC3,0.8971792554754767
BIC4,0.8971792554754767
BIC5,0.8971792554754767
CIC0,3.2646804318676295
CIC1,1.5477037871877206
CIC2,0.7276706435369258
CIC3,0.21052631578947256
CIC4,0.21052631578947256
CIC5,0.21052631578947256
GGI1,6.5
GGI2,3.777777777777779
GGI3,2.0625
GGI4,1.5255555555555558
GGI5,0.8333333333333333
GGI6,0.48571428571428565
GGI7,0.4140447845804989
GGI8,0.24490583270345173
GGI9,0.13063271604938273
JGI1,0.25
JGI2,0.0994152046783626
JGI3,0.055743243243243236
JGI4,0.04622895622895624
JGI5,0.026881720430107527
JGI6,0.01798941798941799
JGI7,0.018820217480931763
JGI8,0.010648079682758771
JGI9,0.00816454475308642
MIC0,26.55273799785612
MIC1,42.31653558972331
MIC2,49.41237329988643
MIC3,49.93365478225587
MIC4,49.93365478225587
MIC5,49.93365478225587
MPC2,38
MPC3,48
MPC4,59
MPC5,68
MPC6,70
MPC7,72
MPC8,74
MPC9,73
Mare,1.0190526315789479
NaaN,0
NaaO,0
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,1
NsLi,0
NsOH,0
NsSH,0
NssO,0
NssS,0
NtCH,0
NtsC,0
RNCG,0.17241732552358566
RPCG,0.14432186738466382
SIC0,0.37791053258557467
SIC1,0.7050828573331135
SIC2,0.8613413310925396
SIC3,0.9598839131733111
SIC4,0.9598839131733111
SIC5,0.9598839131733111
SaaN,0
SaaO,0
SaaS,0
Sare,38.72400000000002
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,5.63885085682404
SsLi,0
SsOH,0
SsSH,0
SssO,0
SssS,0
StCH,0
StsC,0
TIC0,75.36338909988632
TIC1,140.60850159772286
TIC2,171.76976105645306
TIC3,191.4212455108563
TIC4,191.4212455108563
TIC5,191.4212455108563
Vabc,296.11948655998015
WPol,37
apol,46.29810199999998
bpol,25.471897999999996
nRot,4
ABCGG,15.729480785257227
ATS0Z,1506.0
ATS0d,142.0
ATS0i,6175.434003663986
ATS0m,6128.232357149773
ATS0p,68.66924166788597
ATS0s,288.58254267642127
ATS0v,9625.035728220624
ATS1Z,1461.0
ATS1d,178.0
ATS1i,5789.728094592999
ATS1m,5714.562042835201
ATS1p,82.98577833
ATS1s,120.9079218106996
ATS1v,11856.397109090747
ATS2Z,2065.0
ATS2d,267.0
ATS2i,10493.732004541775
ATS2m,7964.368048670398
ATS2p,123.82179476454698
ATS2s,299.84465020576135
ATS2v,17511.469431877304
ATS3Z,2320.0
ATS3d,290.0
ATS3i,14572.62861809839
ATS3m,8771.126957535998
ATS3p,137.71530050833897
ATS3s,343.5668724279835
ATS3v,18872.985247285374
ATS4Z,2168.0
ATS4d,252.0
ATS4i,13463.21887420207
ATS4m,8112.7820946863985
ATS4p,126.10718650849002
ATS4s,349.1181984453589
ATS4v,17065.181363988155
ATS5Z,2041.0
ATS5d,231.0
ATS5i,12563.81459316766
ATS5m,7701.190989591999
ATS5p,113.25280542164101
ATS5s,304.56790123456784
ATS5v,15947.093067060718
ATS6Z,1616.0
ATS6d,208.0
ATS6i,11794.777710689856
ATS6m,6038.379750215999
ATS6p,102.33475622618799
ATS6s,363.7165637860082
ATS6v,13860.50734611443
ATS7Z,1453.0
ATS7d,189.0
ATS7i,10555.824983725446
ATS7m,5381.8254592608
ATS7p,95.17509961318801
ATS7s,204.66049382716054
ATS7v,12455.732306254162
ATS8Z,1352.0
ATS8d,164.0
ATS8i,9525.991085998887
ATS8m,5010.789876670398
ATS8p,81.633607402188
ATS8s,297.0329218106996
ATS8v,11342.212318045482
C1SP1,0
C1SP2,1
C1SP3,1
C2SP1,0
C2SP2,12
C2SP3,2
C3SP2,0
C3SP3,0
C4SP3,0
FCSP3,0.1875
GGI10,0.11141720232629324
JGI10,0.009284766860524436
JGT10,0.543176151347389
Kier1,18.781065088757398
Kier2,7.7091412742382275
Kier3,4.411458333333333
MAXdO,12.389271463214914
MAXsF,13.191487051932231
MID_C,33.17573608450402
MID_N,4.236645835446182
MID_O,5.258652582638296
MID_X,3.5109766384364964
MID_h,15.247938591445592
MINdO,11.799224680827885
MINsF,13.191487051932231
MPC10,76
MWC01,26.0
MWC02,4.859812404361672
MWC03,5.707110264748875
MWC04,6.597145701886651
MWC05,7.461065514354283
MWC06,8.351138607086154
MWC07,9.219993629004321
MWC08,10.10989177984604
MWC09,10.98085918043337
MWC10,11.870620888042966
NaaCH,7
NaaNH,0
NaaSe,0
NaaaC,0
NaasC,5
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,1
NdssS,0
NsCH3,0
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,1
NssPH,0
NssSe,0
NsssB,0
NsssN,1
NsssP,0
SLogP,3.4067000000000016
SRW02,3.970291913552122
SRW03,0.0
SRW04,5.3230099791384085
SRW05,2.3978952727983707
SRW06,6.859614903654202
SRW07,4.59511985013459
SRW08,8.475746001502063
SRW09,6.555356891810665
SRW10,10.13193700264052
SaaCH,9.755473793137634
SaaNH,0
SaaSe,0
SaaaC,0
SaasC,-0.15417880135848394
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,0.014188464386877708
SdssS,0
SsCH3,0
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,2.413092718568909
SssPH,0
SssSe,0
SsssB,0
SsssN,1.6176199082836888
SsssP,0
VE1_A,4.549595976238521
VE1_D,4.833828299089167
VE2_A,0.18956649900993838
VE2_D,0.20140951246204863
VE3_A,2.3905071699430285
VE3_D,2.4511074995772137
VR1_A,138.87302314294732
VR1_D,136.25966817474514
VR2_A,5.786375964289472
VR2_D,5.677486173947714
VR3_A,5.80902875041812
VR3_D,5.790031127460475
WPath,1388
Xc-3d,2.408794739522456
Xc-4d,0.2041241452319315
Xc-5d,0.6793948058049194
Xc-6d,0.10206207261596575
Xp-0d,17.319626477379405
Xp-1d,11.36501052785946
Xp-2d,11.022002197714501
Xp-3d,8.874818014737595
Xp-4d,6.949267671282494
Xp-5d,5.13821622172589
Xp-6d,3.431159520587409
Xp-7d,2.2177204036060454
ZMIC0,73.74361303731752
ZMIC1,45.589350631439565
ZMIC2,30.30034729562758
ZMIC3,28.120016653948426
ZMIC4,28.120016653948426
ZMIC5,28.120016653948426
nAcid,0
nAtom,38
nBase,0
nRing,3
piPC1,3.58351893845611
piPC2,4.219507705176107
piPC3,4.677490847567717
piPC4,5.176149732573829
piPC5,5.661222860237405
piPC6,5.829864313127279
piPC7,6.033910222744335
piPC8,6.185951389172387
piPC9,6.307870728881881
AATS0Z,39.63157894736842
AATS0d,3.736842105263158
AATS0i,162.51142114905227
AATS0m,161.26927255657296
AATS0p,1.8070853070496309
AATS0s,7.594277438853191
AATS0v,253.29041390054275
AATS1Z,36.525
AATS1d,4.45
AATS1i,144.74320236482498
AATS1m,142.86405107088004
AATS1p,2.07464445825
AATS1s,3.0226980452674903
AATS1v,296.40992772726867
AATS2Z,29.92753623188406
AATS2d,3.869565217391304
AATS2i,152.08307252959094
AATS2m,115.42562389377389
AATS2p,1.7945187647035794
AATS2s,4.345574640663208
AATS2v,253.78941205619282
AATS3Z,25.494505494505493
AATS3d,3.1868131868131866
AATS3i,160.13877602305922
AATS3m,96.38601052237361
AATS3p,1.5133549506410875
AATS3s,3.7754601365712475
AATS3v,207.39544227786126
AATS4Z,25.80952380952381
AATS4d,3.0
AATS4i,160.27641516907227
AATS4m,96.58073922245713
AATS4p,1.5012760298629764
AATS4s,4.156169029111416
AATS4v,203.15692099985898
AATS5Z,25.835443037974684
AATS5d,2.9240506329113924
AATS5i,159.03562776161596
AATS5m,97.48343024799999
AATS5p,1.4335798154638104
AATS5s,3.8552898890451623
AATS5v,201.8619375577306
AATS6Z,22.136986301369863
AATS6d,2.8493150684931505
AATS6i,161.57229740671036
AATS6m,82.71753082487669
AATS6p,1.4018459757012054
AATS6s,4.982418682000112
AATS6v,189.86996364540315
AATS7Z,22.015151515151516
AATS7d,2.8636363636363638
AATS7i,159.9367421776583
AATS7m,81.5428099888
AATS7p,1.442046963836182
AATS7s,3.100916573138796
AATS7v,188.7232167614267
AATS8Z,22.915254237288135
AATS8d,2.7796610169491527
AATS8i,161.45747603387943
AATS8m,84.92864197746438
AATS8p,1.3836204644438646
AATS8s,5.034456301876264
AATS8v,192.2408867465336
AMID_C,1.382322336854334
AMID_N,0.17652690981025757
AMID_O,0.2191105242765957
AMID_X,0.14629069326818736
AMID_h,0.6353307746435664
ATS0dv,370.04938271604937
ATS0pe,258.26640000000003
ATS0se,311.9846459999999
ATS1dv,289.44444444444446
ATS1pe,267.31510000000003
ATS1se,318.7332699999999
ATS2dv,509.11111111111114
ATS2pe,464.30190000000005
ATS2se,555.7807339999997
ATS3dv,454.55555555555554
ATS3pe,600.8453000000001
ATS3se,733.2873079999998
ATS4dv,419.1851851851852
ATS4pe,558.3144
ATS4se,683.7829989999999
ATS5dv,374.44444444444446
ATS5pe,524.2388
ATS5se,642.000954
ATS6dv,417.11111111111114
ATS6pe,477.9304000000001
ATS6se,584.1434139999999
ATS7dv,256.3333333333333
ATS7pe,416.9372
ATS7se,516.9845580000001
ATS8dv,327.44444444444446
ATS8pe,390.1262000000001
ATS8se,480.020256
ATSC0Z,556.0
ATSC0c,0.6212477676033471
ATSC0d,27.368421052631586
ATSC0i,81.52246497484737
ATSC0m,2548.7876030674715
ATSC0p,12.260971962559575
ATSC0s,129.83015992627887
ATSC0v,1870.475170962418
ATSC1Z,81.0
ATSC1c,-0.41560153150115264
ATSC1d,3.4016620498614936
ATSC1i,-10.185809025428727
ATSC1m,345.676571458016
ATSC1p,-1.2198179512986038
ATSC1s,-16.821685742917207
ATSC1v,36.892816642159325
ATSC2Z,20.0
ATSC2c,0.2515169139896612
ATSC2d,-5.958448753462607
ATSC2i,-15.992935567016492
ATSC2m,96.69477289052406
ATSC2p,-0.7120044372056519
ATSC2s,36.60741128772977
ATSC2v,-230.9696267594564
ATSC3Z,-20.0
ATSC3c,-0.06738948366168654
ATSC3d,-6.90858725761773
ATSC3i,-9.859169314242424
ATSC3m,-54.996503400532916
ATSC3p,-0.6475208508948331
ATSC3s,-18.20086697167769
ATSC3v,-64.77420065336622
ATSC4Z,-37.0
ATSC4c,0.0196589132712667
ATSC4d,-1.7617728531855952
ATSC4i,0.5497115734621087
ATSC4m,-183.17880880354124
ATSC4p,1.2263410946314046
ATSC4s,-37.42070316507643
ATSC4v,-40.22885422993419
ATSC5Z,41.0
ATSC5c,-0.38603247086801135
ATSC5d,-1.3711911357340718
ATSC5i,-14.578703216143461
ATSC5m,184.08839637473346
ATSC5p,-3.1246424661935985
ATSC5s,-50.4803327490552
ATSC5v,-236.8857282825251
ATSC6Z,51.0
ATSC6c,0.45953467762687533
ATSC6d,0.9501385041551251
ATSC6i,20.491395196820775
ATSC6m,246.6207478942348
ATSC6p,0.7397810399627547
ATSC6s,70.16053659514736
ATSC6v,-76.42576305135738
ATSC7Z,33.0
ATSC7c,-0.23542393168462128
ATSC7d,-0.9556786703601106
ATSC7i,-0.5364329998234121
ATSC7m,163.3018368961947
ATSC7p,0.6783401863966256
ATSC7s,-24.761576158708337
ATSC7v,182.37036913292758
ATSC8Z,-113.0
ATSC8c,0.07469405683994892
ATSC8d,-1.9141274238227128
ATSC8i,-10.876941924454991
ATSC8m,-465.87180945433414
ATSC8p,-1.449760656134873
ATSC8s,40.682196472767195
ATSC8v,236.06748240385957
AXp-0d,0.7216511032241418
AXp-1d,0.4371157895330562
AXp-2d,0.2900526894135395
AXp-3d,0.1848920419736999
AXp-4d,0.11778419781834736
AXp-5d,0.07556200326067486
AXp-6d,0.04901656457982013
AXp-7d,0.030801672272306187
GATS1Z,0.6721223021582734
GATS1c,1.6476559920288265
GATS1d,1.0139423076923075
GATS1i,1.1387977794860102
GATS1m,0.6562762302686972
GATS1p,1.1459428427902665
GATS1s,0.631123468027419
GATS1v,0.8651551258504871
GATS2Z,0.7252632676467522
GATS2c,0.8537259800775893
GATS2d,1.2049749163879595
GATS2i,1.076589336416197
GATS2m,0.7172765305339522
GATS2p,0.9372507018854663
GATS2s,0.5255573774752436
GATS2v,0.9490940324926939
GATS3Z,0.985403984504704
GATS3c,1.152437578053692
GATS3d,1.166219357565511
GATS3i,1.0219918924230624
GATS3m,0.9730835925876362
GATS3p,1.0186891935236433
GATS3s,0.9345888822746823
GATS3v,0.9766587205091449
GATS4Z,1.047715399109284
GATS4c,1.0950098694369261
GATS4d,1.0622252747252745
GATS4i,0.9156654507042118
GATS4m,1.0347527726949994
GATS4p,1.0186557579879458
GATS4s,1.2202698669076477
GATS4v,0.973337251515814
GATS5Z,0.9135438484655314
GATS5c,1.3138621818088083
GATS5d,0.9668816942551117
GATS5i,0.8591927857709438
GATS5m,0.9100517147309504
GATS5p,1.060844610511038
GATS5s,1.1948639473288554
GATS5v,1.0104726653994132
GATS6Z,0.7839755592786045
GATS6c,0.5688250435342761
GATS6d,0.8518967334035824
GATS6i,0.787807991375601
GATS6m,0.7854120238984909
GATS6p,0.8698189719729963
GATS6s,0.6168840584350094
GATS6v,1.0015708908523744
GATS7Z,0.9639197732722913
GATS7c,1.1444974514982151
GATS7d,1.003700466200466
GATS7i,0.8720448511746524
GATS7m,0.9513251463807861
GATS7p,1.0240778938913506
GATS7s,0.9160585771895432
GATS7v,0.989866031253063
GATS8Z,1.275667601512011
GATS8c,0.9082651651687154
GATS8d,1.09986962190352
GATS8i,0.9273962091983416
GATS8m,1.2552004797753977
GATS8p,1.1372313091989426
GATS8s,0.917322022580651
GATS8v,0.9324326033852304
MATS1Z,0.13839928057553957
MATS1c,-0.6355297765483154
MATS1d,0.11807692307692298
MATS1i,-0.11869757099644677
MATS1m,0.12884272604350938
MATS1p,-0.09451347391318553
MATS1s,-0.12308851398508305
MATS1v,0.01873757874691166
MATS2Z,0.019810238765509334
MATS2c,0.22296508502881132
MATS2d,-0.11989966555183948
MATS2i,-0.10804020276276953
MATS2m,0.020893146883524828
MATS2p,-0.031981019686273114
MATS2s,0.15528443721649812
MATS2v,-0.06800446538245442
MATS3Z,-0.015020950272748836
MATS3c,-0.04529700543736213
MATS3d,-0.10540997464074386
MATS3i,-0.05050161030908457
MATS3m,-0.009010390987830868
MATS3p,-0.02205317190002299
MATS3s,-0.058540804666996016
MATS3v,-0.014460799975165639
MATS4Z,-0.030104487838300786
MATS4c,0.014315251292956533
MATS4d,-0.029120879120879108
MATS4i,0.003050435793549019
MATS4m,-0.0325121653459175
MATS4p,0.04524709411515864
MATS4s,-0.1303889123004594
MATS4v,-0.0097294888872373
MATS5Z,0.035470357890902464
MATS5c,-0.29889283255025423
MATS5d,-0.02409931840311586
MATS5i,-0.08601973443363946
MATS5m,0.03474155664541979
MATS5p,-0.12258347733482952
MATS5s,-0.18702648951243026
MATS5v,-0.06091769387069108
MATS6Z,0.047748102887552976
MATS6c,0.385047391175597
MATS6d,0.01807165437302424
MATS6i,0.13084434661524974
MATS6m,0.05036823131393113
MATS6p,0.03140790970165417
MATS6s,0.2813053852807079
MATS6v,-0.021269073513911014
MATS7Z,0.0341726618705036
MATS7c,-0.21818527043560904
MATS7d,-0.020104895104895094
MATS7i,-0.003788592060237444
MATS7m,0.03688901719976827
MATS7p,0.031853877690226025
MATS7s,-0.10981011707271887
MATS7v,0.056136068124316374
MATS8Z,-0.13089867089379342
MATS8c,0.07743776173936542
MATS8d,-0.04504563233376788
MATS8i,-0.08593322124523528
MATS8m,-0.11772382659776406
MATS8p,-0.07615580186140275
MATS8s,0.20181822666132004
MATS8v,0.08128600988856359
MAXsCl,5.63885085682404
MINsCl,5.63885085682404
NddssS,1
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,3
NssNH2,0
NsssAs,0
NsssCH,0
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,6
SM1_Dt,0.0
SddssS,-3.910955097316704
SdssSe,0
SdsssP,0
SpAD_A,30.24499610577918
SpAD_D,238.42803613430667
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,1.8844312760618676
SssNH2,0
SsssAs,0
SsssCH,0
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,628
TMWC10,125.15763796976434
TSRW10,72.30897181523095
VE1_Dt,4.831548675677881
VE2_Dt,0.20131452815324505
VE3_Dt,2.4506357904117033
VR1_Dt,136.25906996124837
VR2_Dt,5.677461248385349
VR3_Dt,5.790026737204592
Xc-3dv,1.1779417772241816
Xc-4dv,0.05103103630798288
Xc-5dv,0.20224239698372604
Xc-6dv,0.017010345435994292
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.11785113019775792
Xch-6d,0.3372672270190456
Xch-7d,0.44140796850020547
Xp-0dv,14.071333458207071
Xp-1dv,9.111193791510548
Xp-2dv,7.4702745619820625
Xp-3dv,5.353440777890993
Xp-4dv,3.83707790895542
Xp-5dv,2.5085462329694006
Xp-6dv,1.4654992522423156
Xp-7dv,0.9195953279472832
Xpc-4d,4.891847022725514
Xpc-5d,6.868081879189932
Xpc-6d,9.485739578575663
n3Ring,0
n4Ring,0
n5Ring,1
n6Ring,2
n7Ring,0
n8Ring,0
n9Ring,0
nARing,1
nBonds,40
nFRing,0
nHBAcc,3
nHBDon,1
nHRing,1
nSpiro,0
naRing,2
piPC10,6.620406484320476
AATS0dv,9.738141650422351
AATS0pe,6.796484210526317
AATS0se,8.210122263157892
AATS1dv,7.236111111111112
AATS1pe,6.682877500000001
AATS1se,7.968331749999997
AATS2dv,7.378421900161031
AATS2pe,6.729013043478261
AATS2se,8.054793246376807
AATS3dv,4.995115995115995
AATS3pe,6.602695604395605
AATS3se,8.058102285714284
AATS4dv,4.9902998236331575
AATS4pe,6.646599999999999
AATS4se,8.140273797619047
AATS5dv,4.739803094233475
AATS5pe,6.63593417721519
AATS5se,8.12659435443038
AATS6dv,5.713850837138509
AATS6pe,6.5469917808219185
AATS6se,8.001964575342464
AATS7dv,3.8838383838383836
AATS7pe,6.317230303030303
AATS7se,7.833099363636365
AATS8dv,5.549905838041432
AATS8pe,6.612308474576273
AATS8se,8.135936542372882
AATSC0Z,14.631578947368421
AATSC0c,0.016348625463245975
AATSC0d,0.7202216066481997
AATSC0i,2.1453280256538783
AATSC0m,67.07335797545977
AATSC0p,0.3226571569094625
AATSC0s,3.416583155954707
AATSC0v,49.223030814800474
AATSC1Z,2.025
AATSC1c,-0.010390038287528816
AATSC1d,0.08504155124653734
AATSC1i,-0.2546452256357182
AATSC1m,8.6419142864504
AATSC1p,-0.030495448782465094
AATSC1s,-0.4205421435729302
AATSC1v,0.9223204160539831
AATSC2Z,0.2898550724637681
AATSC2c,0.003645172666516829
AATSC2d,-0.08635432976032763
AATSC2i,-0.231781674884297
AATSC2m,1.4013735201525226
AATSC2p,-0.010318904887038433
AATSC2s,0.5305421925757937
AATSC2v,-3.347385895064585
AATSC3Z,-0.21978021978021978
AATSC3c,-0.0007405437765020499
AATSC3d,-0.07591854129250253
AATSC3i,-0.10834251993672993
AATSC3m,-0.6043571802256364
AATSC3p,-0.007115613746097068
AATSC3s,-0.2000095271612933
AATSC3v,-0.7118044027842442
AATSC4Z,-0.44047619047619047
AATSC4c,0.00023403468180079406
AATSC4d,-0.020973486347447563
AATSC4i,0.0065441853983584375
AATSC4m,-2.1807001048040626
AATSC4p,0.01459929874561196
AATSC4s,-0.44548456148900517
AATSC4v,-0.4789149313087404
