DLiP-ID,J1007H
DLiP-Mol-ID,36971
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C17H14FN3O2/c1-11-15(16(23-21-11)12-5-3-2-4-6-12)17(22)20-19-14-9-7-13(18)8-10-14/h2-10,19H,1H3,(H,20,22)"
Standard Inchi Key(RDKit),ZAKUVRGODWTTTF-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1noc(-c2ccccc2)c1C(=O)NNc1ccc(F)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),311.316
MW Monoisotopic(RDKit),311.107004908
MolLogP(RDKit),3.54602
XLogP(SDF),
XLogP(CDK),4.304
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),67.16
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),23
QED Weighted(RDKit),0.723171023505778
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,GATA4/NKX2-5
Common Target Pref Name,GATA4/NKX2-5
RDKit Descriptors
Ipc,257364.1027479088
qed,0.7231710235057778
Chi0,16.233840039752504
Chi1,11.147867045540842
TPSA,67.16
Chi0n,12.337827072143545
Chi0v,12.337827072143545
Chi1n,6.985462318122389
Chi1v,6.985462318122389
Chi2n,4.924151101539134
Chi2v,4.924151101539134
Chi3n,3.290356862771525
Chi3v,3.290356862771525
Chi4n,2.148343657960062
Chi4v,2.148343657960062
MolMR,84.16490000000002
MolWt,311.31600000000003
fr_SH,0
Kappa1,14.77339594384429
Kappa2,6.310698890695555
Kappa3,3.2072073846909843
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,813.6146987696306
MolLogP,3.5460200000000013
NOCount,5
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.7981587965525636
SMR_VSA1,13.70804716871999
SMR_VSA2,0.0
SMR_VSA3,10.58245465423583
SMR_VSA4,0.0
SMR_VSA5,6.923737199690624
SMR_VSA6,5.425791397110385
SMR_VSA7,71.67190394374585
SMR_VSA8,0.0
SMR_VSA9,11.323698910571437
fr_Al_OH,0
fr_Ar_NH,0
