DLiP-ID,C100JR
DLiP-Mol-ID,36465
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C13H8ClNO2S/c14-8-1-3-9(4-2-8)15-13(17)11-6-5-10(16)7-12(11)18-15/h1-7,16H"
Standard Inchi Key(RDKit),UJDIPPJSPINUAN-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=c1c2ccc(O)cc2sn1-c1ccc(Cl)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),277.732
MW Monoisotopic(RDKit),276.996427176
MolLogP(RDKit),3.4112
XLogP(SDF),
XLogP(CDK),3.597
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),42.23
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),1
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),18
QED Weighted(RDKit),0.740547282431353
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,MIF/CD74 (Macrophage migration inhibitory factor and HLA-DR antigens-associated invariant chain)
Common Target Pref Name,MIF/CD74 (Macrophage migration inhibitory factor and HLA-DR antigens-associated invariant chain)
RDKit Descriptors
Ipc,19562.835452584783
qed,0.7405472824313526
Chi0,12.698306133819765
Chi1,8.64786704554084
TPSA,42.23
