DLiP-ID,C100NJ
DLiP-Mol-ID,35853
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H12Cl2N2O5/c22-12-2-1-3-13(9-12)25-20(27)16(19(26)24-25)10-14-5-7-18(30-14)11-4-6-15(21(28)29)17(23)8-11/h1-10H,(H,24,26)(H,28,29)/b16-10-"
Standard Inchi Key(RDKit),XVLQZWSQEMKEIL-YBEGLDIGSA-N
Canonical SMILES(RDKit),O=C1NN(c2cccc(Cl)c2)C(=O)/C1=C\c1ccc(-c2ccc(C(=O)O)c(Cl)c2)o1
SMILES(SDF),
MW(SDF),
MW(RDKit),443.242
MW Monoisotopic(RDKit),442.012326844
MolLogP(RDKit),4.413
XLogP(SDF),
XLogP(CDK),4.591
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),99.85
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.459754534114435
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Keap1/Nrf2
Common Target Pref Name,KEAP1/NRF2
RDKit Descriptors
Ipc,7413634.838391547
qed,0.4597545341144348
Chi0,21.413484604514082
Chi1,14.3294075958929
TPSA,99.85000000000001
Chi0n,15.056851990770083
Chi0v,16.568709882806992
