DLiP-ID,T006U1
DLiP-Mol-ID,24570
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C26H32N4O3/c1-2-20(27)24(31)28-21-15-13-19-14-16-22(30(19)26(21)33)25(32)29-23(17-9-5-3-6-10-17)18-11-7-4-8-12-18/h3-12,19-23H,2,13-16,27H2,1H3,(H,28,31)(H,29,32)"
Standard Inchi Key(RDKit),VWDMCRIMEONDMI-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCC(N)C(=O)NC1CCC2CCC(C(=O)NC(c3ccccc3)c3ccccc3)N2C1=O
SMILES(SDF),
MW(SDF),
MW(RDKit),448.567
MW Monoisotopic(RDKit),448.247440884
MolLogP(RDKit),2.2677
XLogP(SDF),
XLogP(CDK),2.945
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),104.53
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),33
QED Weighted(RDKit),0.604329348714897
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,XIAP/Caspase9 or SMAC (BIR3 domanin)
Common Target Pref Name,XIAP/SMAC
RDKit Descriptors
Ipc,40593593.39518599
qed,0.6043293487148973
Chi0,23.37166824125719
Chi1,15.990402300641941
TPSA,104.53
Chi0n,18.945096679858302
Chi0v,18.945096679858302
Chi1n,11.776151726988905
Chi1v,11.776151726988905
Chi2n,8.908713379095218
Chi2v,8.908713379095218
Chi3n,6.791787347018309
Chi3v,6.791787347018309
Chi4n,4.906367574697064
