DLiP-ID,C000IJ
DLiP-Mol-ID,30882
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C12H15N3O2S/c1-3-6-18-8-4-5-9-10(7-8)14-11(13-9)15-12(16)17-2/h4-5,7H,3,6H2,1-2H3,(H2,13,14,15,16)"
Standard Inchi Key(RDKit),HXHWSAZORRCQMX-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1
SMILES(SDF),
MW(SDF),
MW(RDKit),265.338
MW Monoisotopic(RDKit),265.08849772
MolLogP(RDKit),3.2433
XLogP(SDF),
XLogP(CDK),3.121
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),67.01
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),18
QED Weighted(RDKit),0.832712414482706
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,16664.71645005493
qed,0.8327124144827058
Chi0,12.957819157813608
Chi1,8.723876650462412
TPSA,67.00999999999999
Chi0n,10.31822283683352
Chi0v,11.134719417761247
Chi1n,5.701650109153562
Chi1v,6.68724866880705
Chi2n,3.7294089062852156
Chi2v,4.897736852134922
Chi3n,2.3320560634643117
Chi3v,3.5316957261791506
Chi4n,1.505334196435451
Chi4v,2.310611492202904
MolMR,73.13640000000002
MolWt,265.33799999999997
