DLiP-ID,C000PU
DLiP-Mol-ID,31188
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C14H14N2O2/c1-18-14-9-11(7-8-13(14)17)10-15-16-12-5-3-2-4-6-12/h2-10,16-17H,1H3/b15-10+"
Standard Inchi Key(RDKit),BYJHTDOYXMLKFQ-XNTDXEJSSA-N
Canonical SMILES(RDKit),COc1cc(/C=N/Nc2ccccc2)ccc1O
SMILES(SDF),
MW(SDF),
MW(RDKit),242.278
MW Monoisotopic(RDKit),242.105527688
MolLogP(RDKit),2.8468
XLogP(SDF),
XLogP(CDK),3.582
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),53.85
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),18
QED Weighted(RDKit),0.639957296708909
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,16039.765237704527
qed,0.639957296708909
Chi0,12.794682450997078
Chi1,8.792024997884274
TPSA,53.849999999999994
Chi0n,9.998827904170414
Chi0v,9.998827904170414
Chi1n,5.505177529773272
Chi1v,5.505177529773272
