DLiP-ID,T0025N
DLiP-Mol-ID,18227
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C26H40N4O3/c1-17(29(5)6)23(31)28-22(26(2,3)4)25(33)30-16-10-15-21(30)24(32)27-20-14-9-12-18-11-7-8-13-19(18)20/h7-8,11,13,17,20-22H,9-10,12,14-16H2,1-6H3,(H,27,32)(H,28,31)/t17-,20+,21-,22+/m0/s1"
Standard Inchi Key(RDKit),HIHPOLCVAWABTN-KVJIRVJXSA-N
Canonical SMILES(RDKit),C[C@@H](C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H]1CCCc2ccccc21)C(C)(C)C)N(C)C
SMILES(SDF),
MW(SDF),
MW(RDKit),456.631
MW Monoisotopic(RDKit),456.31004114
MolLogP(RDKit),2.6522
XLogP(SDF),
XLogP(CDK),3.018
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),81.75
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),33
QED Weighted(RDKit),0.689608283845656
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,XIAP/Caspase9 or SMAC (BIR3 domanin)
Common Target Pref Name,XIAP/SMAC
RDKit Descriptors
Ipc,17593448.653163303
qed,0.6896082838456555
Chi0,24.336134335324456
Chi1,15.501926321037867
TPSA,81.75
Chi0n,20.9806149030278
Chi0v,20.9806149030278
Chi1n,12.158508422020795
Chi1v,12.158508422020795
Chi2n,10.789086010118018
Chi2v,10.789086010118018
Chi3n,7.078053668445365
Chi3v,7.078053668445365
Chi4n,4.786720609347916
Chi4v,4.786720609347916
MolMR,129.53340000000006
MolWt,456.63100000000026
fr_SH,0
Kappa1,25.21742201099869
Kappa2,10.244233708335928
Kappa3,5.749611003739852
fr_ArN,0
fr_COO,0
fr_C_O,3
fr_C_S,0
fr_NH0,2
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,876.5331265882105
MolLogP,2.6522000000000014
NOCount,7
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.739025196512238
SMR_VSA1,14.383611552215466
SMR_VSA2,0.0
SMR_VSA3,20.433396669713616
SMR_VSA4,5.41499046939678
SMR_VSA5,83.96642022998438
SMR_VSA6,20.640100371266954
SMR_VSA7,35.392371257240434
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,3
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,197.82254110812482
NHOHCount,2
PEOE_VSA1,15.533486938863138
PEOE_VSA2,19.283521283065944
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,45.03667987291831
PEOE_VSA7,69.66508273246582
PEOE_VSA8,6.544756405912575
PEOE_VSA9,12.083681658295921
RingCount,3
SMR_VSA10,17.721539188054518
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,456.31004114
NumHDonors,2
