DLiP-ID,T000YG
DLiP-Mol-ID,16734
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H21N3O2/c1-26-20-9-5-6-16(14-20)15-22-17-10-12-19(13-11-17)24-21(25)23-18-7-3-2-4-8-18/h2-14,22H,15H2,1H3,(H2,23,24,25)"
Standard Inchi Key(RDKit),CTBUJYZSGBOXED-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1cccc(CNc2ccc(NC(=O)Nc3ccccc3)cc2)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),347.418
MW Monoisotopic(RDKit),347.163376912
MolLogP(RDKit),4.9513
XLogP(SDF),
XLogP(CDK),3.753
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),62.39
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.590986855076103
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,HIF-1a/p300
Common Target Pref Name,HIF-1a/p300
RDKit Descriptors
Ipc,1032967.2098921583
qed,0.5909868550761026
Chi0,18.192023676495612
Chi1,12.724677988261845
TPSA,62.39
Chi0n,14.529156861579413
Chi0v,14.529156861579413
Chi1n,8.32702137472907
Chi1v,8.32702137472907
Chi2n,5.727582228584529
Chi2v,5.727582228584529
Chi3n,3.8052123493098633
Chi3v,3.8052123493098633
Chi4n,2.4728841231899854
Chi4v,2.4728841231899854
MolMR,105.8461
MolWt,347.41800000000006
fr_SH,0
Kappa1,17.35618037698209
Kappa2,8.575388451285574
Kappa3,5.01117774439085
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,0
fr_NH1,3
fr_NH2,0
fr_N_O,0
fr_azo,0
