DLiP-ID,T007NQ
DLiP-Mol-ID,25857
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H16O5/c1-3-5-13(20)11-8-12-10-6-4-7-14(21)15(10)18(23)19(24)16(12)17(22)9(11)2/h4,6-8,21-22H,3,5H2,1-2H3"
Standard Inchi Key(RDKit),YJQYHFMKGAVKDP-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCCC(=O)c1cc2c(c(O)c1C)C(=O)C(=O)c1c(O)cccc1-2
SMILES(SDF),
MW(SDF),
MW(RDKit),324.332
MW Monoisotopic(RDKit),324.099773612
MolLogP(RDKit),3.43502
XLogP(SDF),
XLogP(CDK),3.221
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),91.67
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),24
QED Weighted(RDKit),0.666382217114787
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,BetaCatenin/Tcf4 and Tcf3
Common Target Pref Name,Beta-catenin/TCF
RDKit Descriptors
Ipc,237030.93822936824
qed,0.6663822171147874
Chi0,17.593493648205172
Chi1,11.379116515310283
TPSA,91.67
Chi0n,13.342786701523105
Chi0v,13.342786701523105
Chi1n,7.691613408021492
Chi1v,7.691613408021492
Chi2n,5.851418228614882
Chi2v,5.851418228614882
Chi3n,4.324484651907889
Chi3v,4.324484651907889
Chi4n,3.091273368097723
Chi4v,3.091273368097723
MolMR,87.84410000000001
MolWt,324.332
fr_SH,0
Kappa1,15.927183901826174
Kappa2,5.598785109293035
Kappa3,2.124506166130823
fr_ArN,0
fr_COO,0
fr_C_O,3
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,908.4585461160341
MolLogP,3.4350200000000015
NOCount,5
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.373071461375626
SMR_VSA1,24.596666341896878
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,26.689117645233267
SMR_VSA6,0.0
SMR_VSA7,46.519274240634424
SMR_VSA8,0.0
SMR_VSA9,22.6259266499618
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,2
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,138.11029477733138
NHOHCount,2
PEOE_VSA1,10.213054789681411
PEOE_VSA2,14.383611552215466
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,19.056471336613843
PEOE_VSA7,36.60419594293384
PEOE_VSA8,17.54772460632
PEOE_VSA9,11.126902983393991
RingCount,3
SMR_VSA10,17.34973483909482
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,3
fr_lactam,0
fr_phenol,2
ExactMolWt,324.099773612
NumHDonors,2
PEOE_VSA10,11.49902366656781
PEOE_VSA11,5.783244946364939
PEOE_VSA12,11.566489892729878
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,0.0
SlogP_VSA2,27.56278962877623
SlogP_VSA3,0.0
SlogP_VSA4,6.923737199690624
SlogP_VSA5,56.40279796454609
SlogP_VSA6,24.26546827384644
SlogP_VSA7,0.0
