DLiP-ID,C101MK
DLiP-Mol-ID,40194
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C27H31N3O4/c1-18-11-13-29(14-12-18)15-19-5-7-20(8-6-19)17-34-24-4-2-3-21-22(24)16-30(27(21)33)23-9-10-25(31)28-26(23)32/h2-8,18,23H,9-17H2,1H3,(H,28,31,32)"
Standard Inchi Key(RDKit),JMNURPDSEDCSPG-UHFFFAOYSA-N
Canonical SMILES(RDKit),CC1CCN(Cc2ccc(COc3cccc4c3CN(C3CCC(=O)NC3=O)C4=O)cc2)CC1
SMILES(SDF),
MW(SDF),
MW(RDKit),461.562
MW Monoisotopic(RDKit),461.231456472
MolLogP(RDKit),3.2585
XLogP(SDF),
XLogP(CDK),3.128
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),78.95
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),34
QED Weighted(RDKit),0.668408084488492
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Cereblon/Aiolos
Common Target Pref Name,Uncategorized
RDKit Descriptors
Ipc,73810047.82593559
qed,0.6684080844884919
Chi0,23.656125291633366
Chi1,16.474366886035767
TPSA,78.95
Chi0n,19.58753380624093
Chi0v,19.58753380624093
Chi1n,12.172256445538364
Chi1v,12.172256445538364
Chi2n,9.746058267345916
Chi2v,9.746058267345916
Chi3n,7.238840170799306
Chi3v,7.238840170799306
Chi4n,5.072784874457676
Chi4v,5.072784874457676
MolMR,126.93620000000007
MolWt,461.56200000000024
fr_SH,0
Kappa1,22.594753297355748
Kappa2,9.584072774448927
Kappa3,4.705893781386778
fr_ArN,0
fr_COO,0
