DLiP-ID,C000EQ
DLiP-Mol-ID,30717
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C13H14N4O2S2/c1-3-20-13-16-12(21-17-13)15-11(19)14-10-6-4-5-9(7-10)8(2)18/h4-7H,3H2,1-2H3,(H2,14,15,16,17,19)"
Standard Inchi Key(RDKit),SVHVIRBGQRDCIB-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCSc1nsc(NC(=O)Nc2cccc(C(C)=O)c2)n1
SMILES(SDF),
MW(SDF),
MW(RDKit),322.415
MW Monoisotopic(RDKit),322.055817688
MolLogP(RDKit),3.4967
XLogP(SDF),
XLogP(CDK),1.896
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),83.98
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),21
QED Weighted(RDKit),0.649978489917538
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,63539.989006287906
qed,0.6499784899175377
Chi0,15.242276208189782
Chi1,10.07971869811898
TPSA,83.98
Chi0n,11.54392821080042
Chi0v,13.176921372655872
Chi1n,6.237040280839999
Chi1v,7.99603550262746
Chi2n,4.0312319928092055
Chi2v,6.014252471000853
Chi3n,2.4282600757032182
Chi3v,3.9037862575167854
Chi4n,1.523879104515696
Chi4v,2.7893411119603844
MolMR,85.39490000000002
MolWt,322.4150000000001
fr_SH,0
Kappa1,15.458674517117343
Kappa2,7.185362502693492
Kappa3,4.537242445659631
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,2
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,657.125746548733
MolLogP,3.4967000000000006
NOCount,6
fr_Ar_N,2
fr_COO2,0
fr_urea,1
BalabanJ,1.972643838914493
SMR_VSA1,9.589074368143644
SMR_VSA2,0.0
SMR_VSA3,9.357518502363657
SMR_VSA4,0.0
SMR_VSA5,19.003910881201953
SMR_VSA6,16.38643081475945
SMR_VSA7,29.828919765543436
SMR_VSA8,0.0
SMR_VSA9,0.0
