DLiP-ID,T006NZ
DLiP-Mol-ID,24310
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H28N2O3S/c1-2-18-11-13-20(14-12-18)28(26,27)24-17-7-6-10-21(24)22(25)23-16-15-19-8-4-3-5-9-19/h3-5,8-9,11-14,21H,2,6-7,10,15-17H2,1H3,(H,23,25)"
Standard Inchi Key(RDKit),VKJPFFFQPPUZMN-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCc1ccc(S(=O)(=O)N2CCCCC2C(=O)NCCc2ccccc2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),400.544
MW Monoisotopic(RDKit),400.182063756
MolLogP(RDKit),3.1511
XLogP(SDF),
XLogP(CDK),4.018
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),66.48
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),28
QED Weighted(RDKit),0.776385148331611
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,FKBP1A/FK506
Common Target Pref Name,FKBP1A/FK506
RDKit Descriptors
Ipc,2332615.6393716577
qed,0.7763851483316113
Chi0,19.98491689530906
Chi1,13.51920518133496
TPSA,66.48
Chi0n,16.303456917557504
Chi0v,17.11995349848523
Chi1n,9.945323650990176
Chi1v,11.385386979790818
Chi2n,7.1514656818615565
Chi2v,9.042020282733958
Chi3n,5.250258159475726
Chi3v,7.172656820318456
Chi4n,3.579766297851202
Chi4v,5.236202144824029
MolMR,110.50650000000003
MolWt,400.54400000000004
fr_SH,0
Kappa1,20.55159537976754
Kappa2,9.344890769190343
Kappa3,4.802901896500694
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,879.7577015448377
MolLogP,3.1511000000000013
NOCount,5
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.686368724363128
SMR_VSA1,13.212334168400758
SMR_VSA2,0.0
SMR_VSA3,9.622004595302565
SMR_VSA4,0.0
SMR_VSA5,49.96516961898641
SMR_VSA6,13.08951281182515
SMR_VSA7,65.72420659954848
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,167.36408116226806
NHOHCount,1
PEOE_VSA1,5.316788604006331
