DLiP-ID,P0004E
DLiP-Mol-ID,23153
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C9H7NO4/c1-13-8(11)5-2-3-6-7(4-5)14-9(12)10-6/h2-4H,1H3,(H,10,12)"
Standard Inchi Key(RDKit),FUJBKRLYHYJMNF-UHFFFAOYSA-N
Canonical SMILES(RDKit),COC(=O)c1ccc2[nH]c(=O)oc2c1
SMILES(SDF),
MW(SDF),
MW(RDKit),193.158
MW Monoisotopic(RDKit),193.037507704
MolLogP(RDKit),0.9077
XLogP(SDF),
XLogP(CDK),0.927
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),72.3
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),1
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),14
QED Weighted(RDKit),0.682903343494954
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,CREBBP/H4
Common Target Pref Name,CREBBP/H4
RDKit Descriptors
Ipc,2223.46958983377
qed,0.6829033434949544
Chi0,10.129392033067417
Chi1,6.702708600407234
TPSA,72.30000000000001
Chi0n,7.36504396942433
Chi0v,7.36504396942433
Chi1n,3.9169028883361063
Chi1v,3.9169028883361063
Chi2n,2.71703978157659
Chi2v,2.71703978157659
Chi3n,1.842096389307784
Chi3v,1.842096389307784
Chi4n,1.190209600325206
Chi4v,1.190209600325206
MolMR,48.174200000000006
MolWt,193.158
fr_SH,0
Kappa1,8.55346898338668
Kappa2,3.0244928697324154
Kappa3,1.2834714003944776
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,0
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,536.9806846969158
MolLogP,0.9077
NOCount,5
fr_Ar_N,1
fr_COO2,0
fr_urea,0
