DLiP-ID,C000HH
DLiP-Mol-ID,30825
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C11H8Br2N2O2/c1-6(16)8(5-14)11(17)15-10-4-7(12)2-3-9(10)13/h2-4,16H,1H3,(H,15,17)/b8-6-"
Standard Inchi Key(RDKit),UVSVTDVJQAJIFG-VURMDHGXSA-N
Canonical SMILES(RDKit),C/C(O)=C(\C#N)C(=O)Nc1cc(Br)ccc1Br
SMILES(SDF),
MW(SDF),
MW(RDKit),360.005
MW Monoisotopic(RDKit),357.895251696
MolLogP(RDKit),3.50568
XLogP(SDF),
XLogP(CDK),3.133
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),73.12
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),1
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),17
QED Weighted(RDKit),0.481787733677201
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,4613.699922112754
qed,0.48178773367720124
Chi0,12.999635521070495
Chi1,7.951596160381718
TPSA,73.11999999999999
Chi0n,8.79065523505111
Chi0v,11.96264831328052
Chi1n,4.517336085453702
Chi1v,6.103332624568406
Chi2n,3.1505059635278108
Chi2v,4.920518391494022
Chi3n,1.8772760813809037
Chi3v,3.062028926204321
Chi4n,1.074078925685407
Chi4v,1.780914789196077
MolMR,71.41350000000001
MolWt,360.005
fr_SH,0
Kappa1,13.743775510204083
Kappa2,5.844935117985866
Kappa3,3.5791056957909952
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,528.7632354299213
MolLogP,3.505680000000001
NOCount,4
fr_Ar_N,0
fr_COO2,0
