DLiP-ID,I000J7
DLiP-Mol-ID,28489
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H18Cl2N2O2/c1-28-20-19(16-9-17(23)11-18(24)10-16)21(27)26-8-2-7-22(20,26)12-14-3-5-15(13-25)6-4-14/h3-6,9-11H,2,7-8,12H2,1H3/t22-/m1/s1"
Standard Inchi Key(RDKit),JGDRFWBGECPKHM-JOCHJYFZSA-N
Canonical SMILES(RDKit),COC1=C(c2cc(Cl)cc(Cl)c2)C(=O)N2CCC[C@@]12Cc1ccc(C#N)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),413.304
MW Monoisotopic(RDKit),412.074533176
MolLogP(RDKit),4.84008
XLogP(SDF),
XLogP(CDK),4.815
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),53.33
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),28
QED Weighted(RDKit),0.720979835507251
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,LFA_ICAM
Common Target Pref Name,LFA/ICAM
RDKit Descriptors
Ipc,2954129.2089859643
qed,0.7209798355072511
Chi0,19.88854057813175
Chi1,13.479530820145563
TPSA,53.33
Chi0n,15.336731727019671
Chi0v,16.84858961905658
Chi1n,9.045587397598345
Chi1v,9.8015163436168
Chi2n,7.143803899781848
Chi2v,8.016675460725814
Chi3n,5.532455144168029
Chi3v,5.968890924640013
Chi4n,4.419080154596549
Chi4v,4.945122634822494
MolMR,108.93000000000002
MolWt,413.30400000000026
fr_SH,0
Kappa1,18.863512291268744
Kappa2,7.161719831314876
Kappa3,2.956331364325641
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1003.5725402434273
MolLogP,4.840080000000004
NOCount,4
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.8287539957335386
SMR_VSA1,9.53140013787187
