DLiP-ID,C000YL
DLiP-Mol-ID,31572
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C24H24N2O4/c1-3-30-18-10-8-16(9-11-18)22-21(15(2)27)23(28)24(29)26(22)13-12-17-14-25-20-7-5-4-6-19(17)20/h4-11,14,22,25,28H,3,12-13H2,1-2H3"
Standard Inchi Key(RDKit),NYRSJZZCKXOVET-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCOc1ccc(C2C(C(C)=O)=C(O)C(=O)N2CCc2c[nH]c3ccccc23)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),404.466
MW Monoisotopic(RDKit),404.173607248
MolLogP(RDKit),4.0937
XLogP(SDF),
XLogP(CDK),4.087
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),82.63
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.621268229088354
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,8917996.023344329
qed,0.621268229088354
Chi0,21.250347897697544
Chi1,14.507239053047547
TPSA,82.63
Chi0n,17.01399509784741
Chi0v,17.01399509784741
Chi1n,10.036766005949184
Chi1v,10.036766005949184
Chi2n,7.33109710313734
Chi2v,7.33109710313734
Chi3n,5.48676765070111
Chi3v,5.48676765070111
Chi4n,4.0827179473334985
Chi4v,4.0827179473334985
MolMR,114.40350000000001
MolWt,404.46600000000007
fr_SH,0
Kappa1,19.76246680576238
Kappa2,8.06476767016192
Kappa3,3.450710365873353
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1127.5732579747005
MolLogP,4.093700000000003
NOCount,6
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.642069185542053
SMR_VSA1,19.4324647167844
SMR_VSA2,0.0
SMR_VSA3,9.883888251797686
SMR_VSA4,0.0
