DLiP-ID,T003LI
DLiP-Mol-ID,20465
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H24N2O3/c1-14(2)12-19-18(22)20-11-7-6-10-16(20)17(21)23-13-15-8-4-3-5-9-15/h3-5,8-9,16H,1,6-7,10-13H2,2H3,(H,19,22)/t16-/m0/s1"
Standard Inchi Key(RDKit),LQVOQIQLZSGZQL-INIZCTEOSA-N
Canonical SMILES(RDKit),C=C(C)CNC(=O)N1CCCC[C@H]1C(=O)OCc1ccccc1
SMILES(SDF),
MW(SDF),
MW(RDKit),316.401
MW Monoisotopic(RDKit),316.178692628
MolLogP(RDKit),2.87
XLogP(SDF),
XLogP(CDK),2.338
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),58.64
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),23
QED Weighted(RDKit),0.671064620826939
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,FKBP1A/FK506
Common Target Pref Name,FKBP1A/FK506
RDKit Descriptors
Ipc,155309.27092889923
qed,0.6710646208269386
Chi0,16.656489770562878
Chi1,11.075387400469408
TPSA,58.64
Chi0n,13.585807550335138
Chi0v,13.585807550335138
Chi1n,7.970901613759316
Chi1v,7.970901613759316
Chi2n,5.914096027354417
Chi2v,5.914096027354417
Chi3n,3.8010479522811487
Chi3v,3.8010479522811487
Chi4n,2.572621140421615
Chi4v,2.572621140421615
MolMR,88.79570000000005
MolWt,316.40099999999995
fr_SH,0
Kappa1,17.06016904160207
Kappa2,8.363453483713533
Kappa3,5.1257073806775235
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
