DLiP-ID,T007DA
DLiP-Mol-ID,25391
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C27H30N4O4/c32-25(11-5-7-17-29-24-10-4-6-16-28-24)30-31-26(33)18-23(19-27(34)35)22-14-12-21(13-15-22)20-8-2-1-3-9-20/h1-4,6,8-10,12-16,23H,5,7,11,17-19H2,(H,28,29)(H,30,32)(H,31,33)(H,34,35)"
Standard Inchi Key(RDKit),XMXSNMYAHVBHCD-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(O)CC(CC(=O)NNC(=O)CCCCNc1ccccn1)c1ccc(-c2ccccc2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),474.561
MW Monoisotopic(RDKit),474.22670544
MolLogP(RDKit),4.1268
XLogP(SDF),
XLogP(CDK),4.116
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),120.42
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),12
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),35
QED Weighted(RDKit),0.231441276685051
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,68822605.65251993
qed,0.23144127668505057
Chi0,24.88225812080759
Chi1,17.00804039084698
TPSA,120.42
Chi0n,19.444716518165556
Chi0v,19.444716518165556
Chi1n,11.607896141002241
Chi1v,11.607896141002241
Chi2n,8.182158177907644
Chi2v,8.182158177907644
Chi3n,5.484991188343427
Chi3v,5.484991188343427
Chi4n,3.668081098586401
Chi4v,3.668081098586401
MolMR,134.35189999999992
MolWt,474.5610000000001
fr_SH,0
Kappa1,25.42351279000594
Kappa2,13.493160974757618
Kappa3,8.924387748775496
fr_ArN,0
fr_COO,1
fr_C_O,3
fr_C_S,0
fr_NH0,1
fr_NH1,3
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1089.1837107169192
MolLogP,4.126800000000003
NOCount,8
fr_Ar_N,1
fr_COO2,1
fr_urea,0
BalabanJ,1.4216818558852182
SMR_VSA1,19.49013894705617
SMR_VSA2,0.0
SMR_VSA3,15.835561315167979
SMR_VSA4,0.0
SMR_VSA5,38.02201416079144
SMR_VSA6,11.861545009918906
SMR_VSA7,84.55669988484941
SMR_VSA8,0.0
SMR_VSA9,11.126902983393991
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,204.313183279924
NHOHCount,4
PEOE_VSA1,10.423315998847038
PEOE_VSA2,25.235194346436234
PEOE_VSA3,4.9839785209472085
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,60.6636706846161
PEOE_VSA7,41.66473185786622
PEOE_VSA8,31.501149269539063
PEOE_VSA9,6.4208216229260096
RingCount,3
SMR_VSA10,23.60152752448989
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
