DLiP-ID,C000CI
DLiP-Mol-ID,30608
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H12O3/c17-16-9-7-13-6-8-14(10-15(13)19-16)18-11-12-4-2-1-3-5-12/h1-10H,11H2"
Standard Inchi Key(RDKit),QDLFCBKKECTJSK-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=c1ccc2ccc(OCc3ccccc3)cc2o1
SMILES(SDF),
MW(SDF),
MW(RDKit),252.269
MW Monoisotopic(RDKit),252.078644244
MolLogP(RDKit),3.372
XLogP(SDF),
XLogP(CDK),4.275
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),39.44
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),19
QED Weighted(RDKit),0.670758830780974
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,34832.83847743736
qed,0.6707588307809741
Chi0,13.079139501373252
Chi1,9.309663088089318
TPSA,39.44
Chi0n,10.205354344474397
Chi0v,10.205354344474397
Chi1n,6.018126182874317
Chi1v,6.018126182874317
Chi2n,4.228337092991984
Chi2v,4.228337092991984
Chi3n,2.842879269436229
Chi3v,2.842879269436229
Chi4n,1.871670790779041
Chi4v,1.871670790779041
MolMR,73.25800000000004
MolWt,252.269
fr_SH,0
Kappa1,11.535332804547558
Kappa2,4.980679594412557
Kappa3,2.654261148477804
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,744.5388329818605
MolLogP,3.3720000000000017
NOCount,3
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.83289589409259
SMR_VSA1,9.154013890853395
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,6.606881964512918
SMR_VSA6,0.0
SMR_VSA7,76.64724567946291
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,109.61498812525251
NHOHCount,0
PEOE_VSA1,9.154013890853395
PEOE_VSA2,0.0
PEOE_VSA3,4.794537184071822
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,30.33183534230805
PEOE_VSA7,23.762552697081826
PEOE_VSA8,17.518958351388015
PEOE_VSA9,0.0
RingCount,3
SMR_VSA10,10.969244356107037
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,252.078644244
NumHDonors,0
PEOE_VSA10,17.939413939439063
PEOE_VSA11,0.0
