DLiP-ID,C001JL
DLiP-Mol-ID,32473
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H18O8/c1-12(2,3)14(20)4-6-13(5-7(16)21-6)10(19)23-11-15(13,14)8(17)9(18)22-11/h6,8,11,17,20H,4-5H2,1-3H3/t6-,8-,11-,13-,14+,15+/m0/s1"
Standard Inchi Key(RDKit),MOLPUWBMSBJXER-YDGSQGCISA-N
Canonical SMILES(RDKit),CC(C)(C)[C@]1(O)C[C@@H]2OC(=O)C[C@@]23C(=O)O[C@@H]2OC(=O)[C@H](O)[C@@]231
SMILES(SDF),
MW(SDF),
MW(RDKit),326.301
MW Monoisotopic(RDKit),326.100167536
MolLogP(RDKit),-0.7438
XLogP(SDF),
XLogP(CDK),-0.166
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),8
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),119.36
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),0
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),0
nAtoms(SDF),
Heavy Atoms(RDKit),23
QED Weighted(RDKit),0.558457578801506
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,143749.6330598604
qed,0.5584575788015059
Chi0,16.999635521070495
Chi1,10.520528053368542
TPSA,119.36
Chi0n,12.99018130372507
Chi0v,12.99018130372507
Chi1n,7.537266340698214
Chi1v,7.537266340698214
Chi2n,7.886705153373465
Chi2v,7.886705153373465
Chi3n,6.218481198119952
Chi3v,6.218481198119952
Chi4n,5.148829789573288
Chi4v,5.148829789573288
MolMR,70.36360000000003
MolWt,326.30100000000004
fr_SH,0
Kappa1,14.892972749843779
Kappa2,3.6968314362469417
Kappa3,1.2037224868483885
fr_ArN,0
fr_COO,0
fr_C_O,3
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,650.3525423213082
MolLogP,-0.7438
NOCount,8
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.0498904363654957
SMR_VSA1,38.807255203297025
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,16.244971408190338
SMR_VSA5,57.71186516073939
SMR_VSA6,0.0
SMR_VSA7,0.0
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,2
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,3
fr_ether,3
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,131.23878550830912
NHOHCount,2
PEOE_VSA1,24.423643651081555
PEOE_VSA2,9.589074368143644
PEOE_VSA3,4.794537184071822
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,20.771211599071872
PEOE_VSA7,5.41499046939678
PEOE_VSA8,6.4208216229260096
PEOE_VSA9,12.021872433909698
RingCount,4
SMR_VSA10,17.90791586385555
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,326.10016753599996
NumHDonors,2
PEOE_VSA10,16.933947326541862
PEOE_VSA11,6.103966387748303
PEOE_VSA12,0.0
PEOE_VSA13,6.290026729335213
PEOE_VSA14,17.90791586385555
SlogP_VSA1,0.0
SlogP_VSA2,52.219980969352456
SlogP_VSA3,28.59420041361561
SlogP_VSA4,16.244971408190338
SlogP_VSA5,33.61285484492389
SlogP_VSA6,0.0
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,0
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,58.251897587861386
EState_VSA2,12.841643245852019
EState_VSA3,0.0
EState_VSA4,0.0
EState_VSA5,0.0
EState_VSA6,20.771211599071872
EState_VSA7,0.0
EState_VSA8,0.0
