DLiP-ID,I000AW
DLiP-Mol-ID,28133
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H28N4O3/c1-13(21)18(25)23-16-9-5-8-15-10-11-17(24(15)20(16)27)19(26)22-12-14-6-3-2-4-7-14/h2-4,6-7,13,15-17H,5,8-12,21H2,1H3,(H,22,26)(H,23,25)/t13-,15-,16-,17-/m0/s1"
Standard Inchi Key(RDKit),FHZYBAJOAPZBPA-HJWJTTGWSA-N
Canonical SMILES(RDKit),C[C@H](N)C(=O)N[C@H]1CCC[C@H]2CC[C@@H](C(=O)NCc3ccccc3)N2C1=O
SMILES(SDF),
MW(SDF),
MW(RDKit),372.469
MW Monoisotopic(RDKit),372.216140756
MolLogP(RDKit),0.678300000000002
XLogP(SDF),
XLogP(CDK),1.37
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),104.53
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),27
QED Weighted(RDKit),0.706764981575229
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,XIAP_Smac
Common Target Pref Name,XIAP/SMAC
RDKit Descriptors
Ipc,1403064.9525892017
qed,0.7067649815752286
Chi0,19.388540578131753
Chi1,12.969234250586762
TPSA,104.53
Chi0n,15.688101845907095
Chi0v,15.688101845907095
Chi1n,9.668544699407265
Chi1v,9.668544699407265
Chi2n,7.476635017536543
Chi2v,7.476635017536543
Chi3n,5.427495752736349
Chi3v,5.427495752736349
Chi4n,3.958230972131569
Chi4v,3.958230972131569
MolMR,101.37580000000005
MolWt,372.46900000000005
fr_SH,0
Kappa1,19.35431191348689
Kappa2,8.519532251089004
Kappa3,4.471415304630861
fr_ArN,0
fr_COO,0
fr_C_O,3
