DLiP-ID,T000NE
DLiP-Mol-ID,16266
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C14H20N2O3/c1-10-7-12(15)8-11(2)14(10)19-9-13(17)16-3-5-18-6-4-16/h7-8H,3-6,9,15H2,1-2H3"
Standard Inchi Key(RDKit),BWFSJJCYHKBKSC-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1cc(N)cc(C)c1OCC(=O)N1CCOCC1
SMILES(SDF),
MW(SDF),
MW(RDKit),264.325
MW Monoisotopic(RDKit),264.1473925
MolLogP(RDKit),1.12324
XLogP(SDF),
XLogP(CDK),0.486
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),64.79
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),19
QED Weighted(RDKit),0.830987367231383
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,FKBP1A/FK506
Common Target Pref Name,FKBP1A/FK506
RDKit Descriptors
Ipc,19755.09575407217
qed,0.8309873672313828
Chi0,13.828062645816686
Chi1,9.075387400469408
TPSA,64.79
Chi0n,11.439543180393164
Chi0v,11.439543180393164
Chi1n,6.427265087599296
Chi1v,6.427265087599296
Chi2n,4.765658956391919
Chi2v,4.765658956391919
Chi3n,3.186430643254673
Chi3v,3.186430643254673
Chi4n,2.249382100424719
Chi4v,2.249382100424719
MolMR,73.22240000000004
MolWt,264.325
fr_SH,0
Kappa1,13.676346406455245
Kappa2,5.927482599745123
Kappa3,3.37896
fr_ArN,1
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,444.75403547503925
MolLogP,1.12324
NOCount,5
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.964142562903206
SMR_VSA1,14.268263091671919
SMR_VSA2,0.0
SMR_VSA3,4.899909730850478
SMR_VSA4,0.0
SMR_VSA5,13.847474399381248
SMR_VSA6,38.643826182526084
SMR_VSA7,23.259637120317212
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,2
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,112.83344580741425
NHOHCount,2
PEOE_VSA1,20.107303115612762
PEOE_VSA2,4.794537184071822
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,0.0
PEOE_VSA7,37.10711151969846
PEOE_VSA8,18.776899086508713
PEOE_VSA9,13.213763929025836
