DLiP-ID,T001EI
DLiP-Mol-ID,17053
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C27H27N3O6/c1-2-33-27(32)26(31)30(15-18-6-4-3-5-7-18)20-10-13-23-24(14-20)36-22(17-35-23)16-34-21-11-8-19(9-12-21)25(28)29/h3-14,22H,2,15-17H2,1H3,(H3,28,29)/p+1"
Standard Inchi Key(RDKit),DYUYSOFSDYVVJJ-UHFFFAOYSA-O
Canonical SMILES(RDKit),CCOC(=O)C(=O)N(Cc1ccccc1)c1ccc2c(c1)OC(COc1ccc(C(N)=[NH2+])cc1)CO2
SMILES(SDF),
MW(SDF),
MW(RDKit),490.536
MW Monoisotopic(RDKit),490.19726203609
MolLogP(RDKit),1.4661
XLogP(SDF),
XLogP(CDK),3.449
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),125.91
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),36
QED Weighted(RDKit),0.211934503382129
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,135441978.14832306
qed,0.2119345033821288
Chi0,25.49298858481683
Chi1,17.439892043425118
TPSA,125.91000000000001
Chi0n,19.885384500873716
Chi0v,19.885384500873716
Chi1n,11.514505598266979
Chi1v,11.514505598266979
Chi2n,8.069991611992394
Chi2v,8.069991611992394
Chi3n,5.459591538326481
Chi3v,5.459591538326481
Chi4n,3.6365719742699465
Chi4v,3.6365719742699465
MolMR,132.77679999999998
MolWt,490.53600000000034
fr_SH,0
Kappa1,24.59003146995547
Kappa2,11.263845541956048
Kappa3,5.929500001601117
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,2
fr_N_O,0
fr_azo,0
BertzCT,1230.0162146355715
MolLogP,1.4660999999999997
NOCount,9
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.4914092169350337
SMR_VSA1,33.94580978913536
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,5.733667477162185
