DLiP-ID,C000JP
DLiP-Mol-ID,30924
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H16O4/c1-12(20)11-15(13-7-3-2-4-8-13)17-18(21)14-9-5-6-10-16(14)23-19(17)22/h2-10,15,21H,11H2,1H3/t15-/m0/s1"
Standard Inchi Key(RDKit),PJVWKTKQMONHTI-HNNXBMFYSA-N
Canonical SMILES(RDKit),CC(=O)C[C@@H](c1ccccc1)c1c(O)c2ccccc2oc1=O
SMILES(SDF),
MW(SDF),
MW(RDKit),308.333
MW Monoisotopic(RDKit),308.104858992
MolLogP(RDKit),3.6096
XLogP(SDF),
XLogP(CDK),3.595
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),67.51
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),23
QED Weighted(RDKit),0.74762581484196
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,187785.02349075026
qed,0.7476258148419598
Chi0,16.396976746569035
Chi1,11.07538740046941
TPSA,67.50999999999999
Chi0n,12.652567939974356
Chi0v,12.652567939974356
Chi1n,7.367289200637053
Chi1v,7.367289200637053
Chi2n,5.517369609663823
Chi2v,5.517369609663823
Chi3n,3.86185397401564
Chi3v,3.86185397401564
Chi4n,2.8145578316488793
Chi4v,2.8145578316488793
MolMR,87.73180000000005
MolWt,308.3330000000001
fr_SH,0
Kappa1,15.032579420487952
Kappa2,6.084896581778482
Kappa3,2.8788855581374135
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,909.5509726944721
MolLogP,3.609600000000003
NOCount,4
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.2580724675530317
SMR_VSA1,14.318215515965875
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,19.262464868778025
SMR_VSA6,0.0
SMR_VSA7,76.14433010269829
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
