DLiP-ID,T007CG
DLiP-Mol-ID,25362
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C24H31N3O3/c28-23(19-10-5-4-6-11-19)27-21(24(29)30)14-8-3-1-2-7-13-20-16-15-18-12-9-17-25-22(18)26-20/h4-6,10-11,15-16,21H,1-3,7-9,12-14,17H2,(H,25,26)(H,27,28)(H,29,30)/t21-/m0/s1"
Standard Inchi Key(RDKit),XKMCVGDSJDOSCV-NRFANRHFSA-N
Canonical SMILES(RDKit),O=C(N[C@@H](CCCCCCCc1ccc2c(n1)NCCC2)C(=O)O)c1ccccc1
SMILES(SDF),
MW(SDF),
MW(RDKit),409.53
MW Monoisotopic(RDKit),409.236541852
MolLogP(RDKit),4.206
XLogP(SDF),
XLogP(CDK),2.81
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),91.32
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),11
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.483804209065754
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,6719029.198419141
qed,0.4838042090657538
Chi0,21.18358750805833
Chi1,14.631030293135236
TPSA,91.32000000000001
Chi0n,17.400793737310128
Chi0v,17.400793737310128
Chi1n,10.94669462019303
Chi1v,10.94669462019303
Chi2n,7.87740222641321
Chi2v,7.87740222641321
Chi3n,5.5169302573477585
