DLiP-ID,C0007K
DLiP-Mol-ID,30402
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C28H39N3O2/c1-7-17-30-19-22(5)31(20-21(30)4)27(25-11-10-12-26(18-25)33-6)23-13-15-24(16-14-23)28(32)29(8-2)9-3/h7,10-16,18,21-22,27H,1,8-9,17,19-20H2,2-6H3/t21-,22+,27+/m0/s1"
Standard Inchi Key(RDKit),KQWVAUSXZDRQPZ-OREGWCPLSA-N
Canonical SMILES(RDKit),C=CCN1C[C@@H](C)N([C@H](c2ccc(C(=O)N(CC)CC)cc2)c2cccc(OC)c2)C[C@@H]1C
SMILES(SDF),
MW(SDF),
MW(RDKit),449.639
MW Monoisotopic(RDKit),449.304227488
MolLogP(RDKit),4.84720000000001
XLogP(SDF),
XLogP(CDK),4.834
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),36.02
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),9
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),33
QED Weighted(RDKit),0.513070784702503
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,22360456.727471508
qed,0.5130707847025034
Chi0,23.957454678884094
Chi1,15.925783913070212
TPSA,36.019999999999996
Chi0n,20.828981284822397
Chi0v,20.828981284822397
Chi1n,12.06783081989264
Chi1v,12.06783081989264
Chi2n,8.916016811618745
Chi2v,8.916016811618745
Chi3n,6.792088803021522
Chi3v,6.792088803021522
Chi4n,4.893296552262106
Chi4v,4.893296552262106
MolMR,135.93049999999994
MolWt,449.63900000000024
fr_SH,0
