DLiP-ID,I000J6
DLiP-Mol-ID,28488
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C28H38N4O3/c1-17(29-5)25(33)31-24(28(2,3)4)27(35)32-15-14-19-12-13-22(23(19)32)30-26(34)21-11-10-18-8-6-7-9-20(18)16-21/h6-11,16-17,19,22-24,29H,12-15H2,1-5H3,(H,30,34)(H,31,33)/t17-,19+,22-,23-,24+/m0/s1"
Standard Inchi Key(RDKit),JFFMYRPQVOGSQN-YBAXTEPTSA-N
Canonical SMILES(RDKit),CN[C@@H](C)C(=O)N[C@H](C(=O)N1CC[C@H]2CC[C@H](NC(=O)c3ccc4ccccc4c3)[C@H]21)C(C)(C)C
SMILES(SDF),
MW(SDF),
MW(RDKit),478.637
MW Monoisotopic(RDKit),478.294391076
MolLogP(RDKit),3.0879
XLogP(SDF),
XLogP(CDK),3.855
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),90.54
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),35
QED Weighted(RDKit),0.595208963924985
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,XIAP_Smac
Common Target Pref Name,XIAP/SMAC
RDKit Descriptors
Ipc,68724921.51546672
qed,0.5952089639249852
Chi0,25.327698166887174
Chi1,16.595574016164477
TPSA,90.53999999999999
Chi0n,21.42858882191325
Chi0v,21.42858882191325
Chi1n,12.676602644928748
Chi1v,12.676602644928748
Chi2n,11.108203541554785
Chi2v,11.108203541554785
Chi3n,7.681470524274599
Chi3v,7.681470524274599
Chi4n,5.5142496433088555
Chi4v,5.5142496433088555
MolMR,137.9515999999999
MolWt,478.6370000000002
fr_SH,0
Kappa1,25.17154858314655
Kappa2,9.974931780712492
Kappa3,5.198268237493542
fr_ArN,0
fr_COO,0
fr_C_O,3
fr_C_S,0
fr_NH0,1
fr_NH1,3
fr_NH2,0
fr_N_O,0
