DLiP-ID,C101KX
DLiP-Mol-ID,40135
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H24N2O3.ClH/c24-21(10-7-19-4-1-2-11-22-19)18-5-8-20(9-6-18)26-15-3-12-23-13-16-25-17-14-23;/h1-2,4-11H,3,12-17H2;1H/b10-7+;"
Standard Inchi Key(RDKit),XDPSJRBXHDDQEE-HCUGZAAXSA-N
Canonical SMILES(RDKit),Cl.O=C(/C=C/c1ccccn1)c1ccc(OCCCN2CCOCC2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),388.895
MW Monoisotopic(RDKit),388.15537034
MolLogP(RDKit),3.5006
XLogP(SDF),
XLogP(CDK),2.923
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),51.66
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),27
QED Weighted(RDKit),0.393306785664137
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Keap1/Nrf2
Common Target Pref Name,KEAP1/NRF2
RDKit Descriptors
Ipc,1207660.6787169625
qed,0.3933067856641367
Chi0,18.028886969679082
Chi1,12.809663088089316
TPSA,51.66
Chi0n,15.250670513057464
Chi0v,16.06716709398519
