DLiP-ID,T006ZS
DLiP-Mol-ID,24819
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H21Cl2N3O4/c1-3-14-12-26-28(2)22(30)19(14)15-9-7-13(8-10-15)11-18(23(31)32)27-21(29)20-16(24)5-4-6-17(20)25/h4-10,12,18H,3,11H2,1-2H3,(H,27,29)(H,31,32)/t18-/m0/s1"
Standard Inchi Key(RDKit),WJGBWZYBCVVZMH-SFHVURJKSA-N
Canonical SMILES(RDKit),CCc1cnn(C)c(=O)c1-c1ccc(C[C@H](NC(=O)c2c(Cl)cccc2Cl)C(=O)O)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),474.344
MW Monoisotopic(RDKit),473.090911512
MolLogP(RDKit),3.7422
XLogP(SDF),
XLogP(CDK),3.154
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),101.29
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),32
QED Weighted(RDKit),0.543517477787065
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,10592360.75809321
qed,0.5435174777870654
Chi0,23.41348460451408
Chi1,15.22245310821082
TPSA,101.29
Chi0n,17.432680588989648
Chi0v,18.944538481026555
Chi1n,9.846834386975706
Chi1v,10.602763332994162
Chi2n,7.189112152257927
Chi2v,8.003512405739139
Chi3n,5.072255408473955
Chi3v,5.7021961968226655
Chi4n,3.337798199015624
Chi4v,3.906885673714777
MolMR,123.34800000000003
MolWt,474.34400000000016
fr_SH,0
Kappa1,23.502008508834347
Kappa2,9.974773574950998
Kappa3,5.004772727272727
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1202.6514203981947
MolLogP,3.742200000000002
NOCount,7
fr_Ar_N,2
fr_COO2,1
fr_urea,0
BalabanJ,1.8309990845696362
SMR_VSA1,14.69560176298435
SMR_VSA2,0.0
SMR_VSA3,15.097273347452553
SMR_VSA4,7.04767198267719
SMR_VSA5,25.807221274690605
SMR_VSA6,0.0
SMR_VSA7,85.75083823254182
SMR_VSA8,0.0
SMR_VSA9,11.126902983393991
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,194.153102038993
NHOHCount,2
PEOE_VSA1,10.423315998847038
PEOE_VSA2,9.589074368143644
PEOE_VSA3,9.476340119217006
PEOE_VSA4,5.098681808301038
PEOE_VSA5,0.0
PEOE_VSA6,60.4574523224637
PEOE_VSA7,35.243910234940216
PEOE_VSA8,13.4684936056032
PEOE_VSA9,27.36901318248972
RingCount,3
SMR_VSA10,35.07836479776839
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,473.09091151199993
NumHDonors,2
PEOE_VSA10,6.041840829147961
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,11.466446624403513
PEOE_VSA14,5.969305287951849
SlogP_VSA1,10.876055499058339
SlogP_VSA2,32.805337984738244
SlogP_VSA3,24.68385241260103
SlogP_VSA4,0.0
SlogP_VSA5,28.40862885885343
