DLiP-ID,C000ZL
DLiP-Mol-ID,31610
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C12H7N5O9/c18-11-8(3-6(15(20)21)4-9(11)16(22)23)12(19)14-13-5-7-1-2-10(26-7)17(24)25/h1-5,18H,(H,14,19)/b13-5+"
Standard Inchi Key(RDKit),XXUXXCZCUGIGPP-WLRTZDKTSA-N
Canonical SMILES(RDKit),O=C(N/N=C/c1ccc([N+](=O)[O-])o1)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O
SMILES(SDF),
MW(SDF),
MW(RDKit),365.214
MW Monoisotopic(RDKit),365.024376804
MolLogP(RDKit),1.4737
XLogP(SDF),
XLogP(CDK),3.852
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),10
HBA Lipinski(RDKit),14
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),204.25
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.430912705197263
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,516268.3987085929
qed,0.4309127051972632
Chi0,19.43035694138864
Chi1,12.20128505815564
TPSA,204.24999999999997
Chi0n,12.388805647158826
Chi0v,12.388805647158826
Chi1n,6.438109704700209
Chi1v,6.438109704700209
Chi2n,4.507520824508984
Chi2v,4.507520824508984
Chi3n,2.8771295949289186
Chi3v,2.8771295949289186
Chi4n,1.7464576922326835
Chi4v,1.7464576922326835
MolMR,81.8382
MolWt,365.21400000000006
fr_SH,0
Kappa1,17.985553072207168
Kappa2,7.035268641459336
Kappa3,3.75317580054138
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,4
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,948.5630278462842
MolLogP,1.4736999999999998
NOCount,14
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.2506724842221217
SMR_VSA1,29.088148662418888
SMR_VSA2,0.0
SMR_VSA3,5.425791397110385
SMR_VSA4,5.101407525739723
SMR_VSA5,0.0
SMR_VSA6,0.0
SMR_VSA7,65.93212199071459
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,1
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,1
fr_imide,0
fr_nitro,3
fr_oxime,0
fr_quatN,0
LabuteASA,141.34271452787337
NHOHCount,2
PEOE_VSA1,9.523678331894054
PEOE_VSA2,35.13749199036854
PEOE_VSA3,5.425791397110385
PEOE_VSA4,5.101407525739723
PEOE_VSA5,0.0
PEOE_VSA6,0.0
PEOE_VSA7,6.06636706846161
PEOE_VSA8,6.06636706846161
PEOE_VSA9,33.757408305790875
RingCount,2
SMR_VSA10,29.380735060114954
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,1
ExactMolWt,365.024376804
NumHDonors,2
PEOE_VSA10,4.923311048817671
PEOE_VSA11,5.760247418874442
PEOE_VSA12,5.749511833283905
PEOE_VSA13,11.594566004035068
PEOE_VSA14,11.57156847654457
SlogP_VSA1,5.425791397110385
SlogP_VSA2,31.998240850180537
SlogP_VSA3,0.0
SlogP_VSA4,30.342954806296717
