DLiP-ID,T000JB
DLiP-Mol-ID,16091
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H17F2N3O4/c21-14-6-11(19(23)24)7-15(22)17(14)20(29)25-12-3-4-13-9(5-12)1-2-10(18(13)28)8-16(26)27/h3-7,10H,1-2,8H2,(H3,23,24)(H,25,29)(H,26,27)"
Standard Inchi Key(RDKit),BNFSEAYFTNCGLP-UHFFFAOYSA-N
Canonical SMILES(RDKit),N=C(N)c1cc(F)c(C(=O)Nc2ccc3c(c2)CCC(CC(=O)O)C3=O)c(F)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),401.369
MW Monoisotopic(RDKit),401.118712464
MolLogP(RDKit),2.72097
XLogP(SDF),
XLogP(CDK),2.457
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),5
PSA(SDF),
PSA(RDKit),133.34
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),29
QED Weighted(RDKit),0.451556215900736
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,2118203.0126624224
qed,0.4515562159007359
Chi0,21.292164260954443
Chi1,13.667611553344425
TPSA,133.34
Chi0n,15.090659640797028
Chi0v,15.090659640797028
Chi1n,8.707631747850739
Chi1v,8.707631747850739
Chi2n,6.752329739551367
Chi2v,6.752329739551367
Chi3n,4.762693359931509
Chi3v,4.762693359931509
Chi4n,3.3441197638028983
Chi4v,3.3441197638028983
MolMR,100.16360000000005
MolWt,401.36900000000014
fr_SH,0
Kappa1,20.12297245540805
Kappa2,7.782905231102603
Kappa3,4.129290710447412
fr_ArN,1
fr_COO,1
fr_C_O,3
fr_C_S,0
fr_NH0,0
fr_NH1,2
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,1029.0120974946235
MolLogP,2.720970000000001
NOCount,7
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,1.8223632352952877
SMR_VSA1,28.27096904240581
SMR_VSA2,5.409283605791522
SMR_VSA3,0.0
SMR_VSA4,11.651573523323577
SMR_VSA5,19.26246486877803
SMR_VSA6,5.316788604006331
SMR_VSA7,64.22008299118782
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
