DLiP-ID,T006WW
DLiP-Mol-ID,24688
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H21N3O3S/c23-18(24)11-17(13-4-2-8-20-12-13)26-15-6-1-5-14(10-15)22-19(25)16-7-3-9-21-16/h1-2,4-6,8,10,12,16-17,21H,3,7,9,11H2,(H,22,25)(H,23,24)/t16-,17?/m1/s1"
Standard Inchi Key(RDKit),WDTNHXYMMBSEOO-TZHYSIJRSA-N
Canonical SMILES(RDKit),O=C(O)CC(Sc1cccc(NC(=O)[C@H]2CCCN2)c1)c1cccnc1
SMILES(SDF),
MW(SDF),
MW(RDKit),371.462
MW Monoisotopic(RDKit),371.130362532
MolLogP(RDKit),3.0802
XLogP(SDF),
XLogP(CDK),1.516
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),91.32
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.648081193331153
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,1142492.1409581406
qed,0.6480811933311525
Chi0,18.355160383312143
Chi1,12.614193540729628
TPSA,91.32000000000001
Chi0n,14.221101879033958
Chi0v,15.037598459961684
Chi1n,8.543092180136536
Chi1v,9.422744991391433
Chi2n,6.15673537599619
Chi2v,7.432877750911588
